dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,abbreviation,dept_code,report_quarter,report_fiscal_year,dept_major_code
Office of the Chief Administrative Officer,8141455,2018,Current Projection,Full Year,2018-06-30,Office of the Chief Administrative Officer,CAO,65,4,2018,65
Office of Community Schools and Pre-K,23191679,2018,Current Projection,Full Year,2018-06-30,Office of Children and Families,OCF,66,4,2018,66
Office of Homeless Services,48012584,2018,Current Projection,Full Year,2018-06-30,Office of Homeless Services,OHS,24,4,2018,24
Office of Housing and Comm. Development,0,2018,Current Projection,Full Year,2018-06-30,Office of Housing and Community Development,,06,4,2018,06
Office of Human Resources,5867729,2018,Current Projection,Full Year,2018-06-30,Office of Human Resources,OHR,56,4,2018,56
Office of Innovation and Technology-Base,61894584,2018,Current Projection,Full Year,2018-06-30,Office of Innovation and Technology,OIT,04,4,2018,04
Office of Innovation and Technology-911,20605908,2018,Current Projection,Full Year,2018-06-30,OIT: 911,,04911,4,2018,04
Office of the Inspector General,1636311,2018,Current Projection,Full Year,2018-06-30,Office of the Inspector General,OIG,48,4,2018,48
Office of Planning and Development,0,2018,Current Projection,Full Year,2018-06-30,Mayor's Office of Planning and Development,,62,4,2018,62
Office of Property Assessment,13815630,2018,Current Projection,Full Year,2018-06-30,Office of Property Assessment,OPA,59,4,2018,59
Office of Sustainability,929944,2018,Current Projection,Full Year,2018-06-30,Office of Sustainability,Sustainability,49,4,2018,49
Parks and Recreation,61058911,2018,Current Projection,Full Year,2018-06-30,Department of Parks and Recreation,Parks & Recreation,16,4,2018,16
Planning & Development,8769306,2018,Current Projection,Full Year,2018-06-30,Department of Planning and Development,Planning & Development,72,4,2018,72
Police,691342170,2018,Current Projection,Full Year,2018-06-30,Police Department,Police,11,4,2018,11
Prisons,262744745,2018,Current Projection,Full Year,2018-06-30,Philadelphia Prison System,Prisons,23,4,2018,23
Procurement,4881345,2018,Current Projection,Full Year,2018-06-30,Procurement Department,Procurement,38,4,2018,38
Public Health,136325462,2018,Current Projection,Full Year,2018-06-30,Department of Public Health,Public Health,14,4,2018,14
Public Property,65180347,2018,Current Projection,Full Year,2018-06-30,Department of Public Property,Public Property,20,4,2018,20
Public Property-SEPTA Subsidy,82749000,2018,Current Projection,Full Year,2018-06-30,Public Property: SEPTA Subsidy,,20SS,4,2018,20
Public Property-Space Rentals,24450268,2018,Current Projection,Full Year,2018-06-30,Public Property: Space Rentals,,20SR,4,2018,20
Public Property-Utilities,24655024,2018,Current Projection,Full Year,2018-06-30,Public Property: Utilities,,20U,4,2018,20
Records,4774091,2018,Current Projection,Full Year,2018-06-30,Department of Records,Records,31,4,2018,31
Register of Wills,4381203,2018,Current Projection,Full Year,2018-06-30,Register of Wills,,68,4,2018,68
Revenue,30044546,2018,Current Projection,Full Year,2018-06-30,Department of Revenue,Revenue,36,4,2018,36
Sheriff,26315276,2018,Current Projection,Full Year,2018-06-30,Office of the Sheriff,Sheriff,70,4,2018,70
Sinking Fund Commission (Debt Service),296019214,2018,Current Projection,Full Year,2018-06-30,Sinking Fund Commission,Sinking Fund,37,4,2018,37
Streets,136202512,2018,Current Projection,Full Year,2018-06-30,Streets Department,Streets,12,4,2018,12
Art Museum Subsidy,1912500,2018,Target Budget,YTD,2018-03-31,Art Museum,,34,3,2018,34
Atwater Kent Museum,234401,2018,Target Budget,YTD,2018-03-31,Atwater Kent Museum,Atwater Kent,18,3,2018,18
Auditing (City Controller's Office),6235871,2018,Target Budget,YTD,2018-03-31,City Controller's Office,,61,3,2018,61
Board of Ethics,704483,2018,Target Budget,YTD,2018-03-31,Board of Ethics,,45,3,2018,45
Board of Revision of Taxes,697246,2018,Target Budget,YTD,2018-03-31,Board of Revision of Taxes,BRT,63,3,2018,63
City Commissioners (Election Board),7023470,2018,Target Budget,YTD,2018-03-31,City Commissioner's Office,City Commissioners,73,3,2018,73
City Council,11966940,2018,Target Budget,YTD,2018-03-31,City Council,,01,3,2018,01
City Planning Commission,0,2018,Target Budget,YTD,2018-03-31,City Planning Commission,,51,3,2018,51
City Representative,783723,2018,Target Budget,YTD,2018-03-31,Office of the City Representative,City Rep,41,3,2018,41
City Treasurer,862547,2018,Target Budget,YTD,2018-03-31,Office of the City Treasurer,City Treasurer,40,3,2018,40
Civil Service Commission (1),147021,2018,Target Budget,YTD,2018-03-31,Civil Service Commission,,55,3,2018,55
Commerce,4875445,2018,Target Budget,YTD,2018-03-31,Office of the Director of Commerce,Commerce,42,3,2018,42
Commerce-Convention Center Subsidy,15000000,2018,Target Budget,YTD,2018-03-31,Commerce: Convention Center Subsidy,,42CC,3,2018,42
Commerce-Economic Stimulus,2794448,2018,Target Budget,YTD,2018-03-31,Commerce: Economic Stimulus,,42ES,3,2018,42
District Attorney,26945197,2018,Target Budget,YTD,2018-03-31,District Attorney's Office,DAO,69,3,2018,69
Finance,11141869,2018,Target Budget,YTD,2018-03-31,Office of the Director of Finance,Finance,35,3,2018,35
Finance-Disability-Reg #32 Payroll,1648503,2018,Target Budget,YTD,2018-03-31,Finance: Reg #32,,35R32,3,2018,35
Finance-Federal Grant Reserve,0,2018,Target Budget,YTD,2018-03-31,Finance: Federal Grant Reserve,,35FGR,3,2018,35
Finance-Community College Subsidy,30409207,2018,Target Budget,YTD,2018-03-31,Finance: Community College Subsidy,,35CC,3,2018,35
Finance - Employee Benefits,1069682167,2018,Target Budget,YTD,2018-03-31,Finance: Employee Benefits,,35EB,3,2018,35
Finance-Hero Scholarship Awards,2000,2018,Target Budget,YTD,2018-03-31,Finance: Hero Scholarship Awards,,35HA,3,2018,35
Finance-Indemnities,29885914,2018,Target Budget,YTD,2018-03-31,Finance: Indemnities,,35IN,3,2018,35
Finance-Refunds,9120,2018,Target Budget,YTD,2018-03-31,Finance: Refunds,,35R,3,2018,35
Finance-School District Contribution,0,2018,Target Budget,YTD,2018-03-31,Finance: School District Contribution,,35SD,3,2018,35
Finance-Witness Fees,48600,2018,Target Budget,YTD,2018-03-31,Finance: Witness Fees,,35WF,3,2018,35
Fire,179954967,2018,Target Budget,YTD,2018-03-31,Fire Department,Fire,13,3,2018,13
First Judicial District,77483709,2018,Target Budget,YTD,2018-03-31,First Judicial District,FJD,84,3,2018,84
Fleet Management,34270414,2018,Target Budget,YTD,2018-03-31,Office of Fleet Management,Fleet,25,3,2018,25
Fleet Management - Vehicle Purchases,15912082,2018,Target Budget,YTD,2018-03-31,Fleet: Vehicle Lease/Purchases,,25V,3,2018,25
Free Library,30562239,2018,Target Budget,YTD,2018-03-31,The Free Library of Philadelphia,Free Library,52,3,2018,52
Historical Commission,0,2018,Target Budget,YTD,2018-03-31,Historical Commission,,32,3,2018,32
Human Relations Commission,1456534,2018,Target Budget,YTD,2018-03-31,Commission on Human Relations,Human Relations,54,3,2018,54
Human Services,82570584,2018,Target Budget,YTD,2018-03-31,Department of Human Services,DHS,22,3,2018,22
Labor,1048316,2018,Target Budget,YTD,2018-03-31,Labor,,03,3,2018,03
Law,11741168,2018,Target Budget,YTD,2018-03-31,Law Department,Law,44,3,2018,44
Licenses & Inspections,24527193,2018,Target Budget,YTD,2018-03-31,Department of Licenses and Inspections,L&I,26,3,2018,26
L&I-Board of Building Standards,43248,2018,Target Budget,YTD,2018-03-31,L&I: Board of Building and Standards,,29,3,2018,29
L&I-Board of L & I Review,116182,2018,Target Budget,YTD,2018-03-31,L&I: Board of Review,,27,3,2018,27
L&I-Zoning Board of Adjustment,0,2018,Target Budget,YTD,2018-03-31,Zoning Board of Adjustments,ZBA,30,3,2018,30
Managing Director's Office,31533703,2018,Target Budget,YTD,2018-03-31,Managing Director's Office,MDO,10,3,2018,10
Managing Director-Legal Services,48824041,2018,Target Budget,YTD,2018-03-31,MDO: Legal Services,,10LS,3,2018,10
Mayor's Office,2984020,2018,Target Budget,YTD,2018-03-31,Mayor's Office,Mayor,05,3,2018,05
Mayor's Office-Scholarships,170000,2018,Target Budget,YTD,2018-03-31,Mayor's Office: Scholarships,,05S,3,2018,05
Mayor's Office-Comm. Empowerment & Opp.,1979223,2018,Target Budget,YTD,2018-03-31,Mayor's Office of Community Empowerment and Opportunity,CEO,08,3,2018,08
Mural Arts Program,1759285,2018,Target Budget,YTD,2018-03-31,Mural Arts Program,Mural Arts,50,3,2018,50
Office of Arts and Culture,4042070,2018,Target Budget,YTD,2018-03-31,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58,3,2018,58
Office of Behavioral Hith & Intellectual disAbility,13895821,2018,Target Budget,YTD,2018-03-31,Behavioral Health and Intellectual Disability Services,DBH/IDS,15,3,2018,15
Office of the Chief Administrative Officer,4376522,2018,Target Budget,YTD,2018-03-31,Office of the Chief Administrative Officer,CAO,65,3,2018,65
Office of Community Schools and Pre-K,31874382,2018,Target Budget,YTD,2018-03-31,Office of Children and Families,OCF,66,3,2018,66
Office of Homeless Services,44709002,2018,Target Budget,YTD,2018-03-31,Office of Homeless Services,OHS,24,3,2018,24
Office of Housing and Comm. Development,0,2018,Target Budget,YTD,2018-03-31,Office of Housing and Community Development,,06,3,2018,06
Office of Human Resources,4166857,2018,Target Budget,YTD,2018-03-31,Office of Human Resources,OHR,56,3,2018,56
Office of Innovation and Technology-Base,45270413,2018,Target Budget,YTD,2018-03-31,Office of Innovation and Technology,OIT,04,3,2018,04
Office of Innovation and Technology-911,14222815,2018,Target Budget,YTD,2018-03-31,OIT: 911,,04911,3,2018,04
Office of the Inspector General,1064713,2018,Target Budget,YTD,2018-03-31,Office of the Inspector General,OIG,48,3,2018,48
Office of Planning and Development,0,2018,Target Budget,YTD,2018-03-31,Mayor's Office of Planning and Development,,62,3,2018,62
Office of Property Assessment,9509011,2018,Target Budget,YTD,2018-03-31,Office of Property Assessment,OPA,59,3,2018,59
Office of Sustainability,599879,2018,Target Budget,YTD,2018-03-31,Office of Sustainability,Sustainability,49,3,2018,49
Parks and Recreation,46401277,2018,Target Budget,YTD,2018-03-31,Department of Parks and Recreation,Parks & Recreation,16,3,2018,16
Planning & Development,6538151,2018,Target Budget,YTD,2018-03-31,Department of Planning and Development,Planning & Development,72,3,2018,72
Police,495642295,2018,Target Budget,YTD,2018-03-31,Police Department,Police,11,3,2018,11
Prisons,211952069,2018,Target Budget,YTD,2018-03-31,Philadelphia Prison System,Prisons,23,3,2018,23
Procurement,3266440,2018,Target Budget,YTD,2018-03-31,Procurement Department,Procurement,38,3,2018,38
Public Health,105663194,2018,Target Budget,YTD,2018-03-31,Department of Public Health,Public Health,14,3,2018,14
Public Property,29811677,2018,Target Budget,YTD,2018-03-31,Department of Public Property,Public Property,20,3,2018,20
Public Property-SEPTA Subsidy,61659000,2018,Target Budget,YTD,2018-03-31,Public Property: SEPTA Subsidy,,20SS,3,2018,20
Public Property-Space Rentals,20193584,2018,Target Budget,YTD,2018-03-31,Public Property: Space Rentals,,20SR,3,2018,20
Public Property-Utilities,22640390,2018,Target Budget,YTD,2018-03-31,Public Property: Utilities,,20U,3,2018,20
Records,3302541,2018,Target Budget,YTD,2018-03-31,Department of Records,Records,31,3,2018,31
Register of Wills,2778623,2018,Target Budget,YTD,2018-03-31,Register of Wills,,68,3,2018,68
Revenue,20945230,2018,Target Budget,YTD,2018-03-31,Department of Revenue,Revenue,36,3,2018,36
Sheriff,19742834,2018,Target Budget,YTD,2018-03-31,Office of the Sheriff,Sheriff,70,3,2018,70
Sinking Fund Commission (Debt Service),240521739,2018,Target Budget,YTD,2018-03-31,Sinking Fund Commission,Sinking Fund,37,3,2018,37
Streets,107309460,2018,Target Budget,YTD,2018-03-31,Streets Department,Streets,12,3,2018,12
Art Museum Subsidy,1912500,2018,Actual,YTD,2018-03-31,Art Museum,,34,3,2018,34
Atwater Kent Museum,234401,2018,Actual,YTD,2018-03-31,Atwater Kent Museum,Atwater Kent,18,3,2018,18
Auditing (City Controller's Office),6235871,2018,Actual,YTD,2018-03-31,City Controller's Office,,61,3,2018,61
Board of Ethics,704483,2018,Actual,YTD,2018-03-31,Board of Ethics,,45,3,2018,45
Board of Revision of Taxes,697246,2018,Actual,YTD,2018-03-31,Board of Revision of Taxes,BRT,63,3,2018,63
City Commissioners (Election Board),7023470,2018,Actual,YTD,2018-03-31,City Commissioner's Office,City Commissioners,73,3,2018,73
City Council,11966940,2018,Actual,YTD,2018-03-31,City Council,,01,3,2018,01
City Planning Commission,0,2018,Actual,YTD,2018-03-31,City Planning Commission,,51,3,2018,51
City Representative,783723,2018,Actual,YTD,2018-03-31,Office of the City Representative,City Rep,41,3,2018,41
City Treasurer,862547,2018,Actual,YTD,2018-03-31,Office of the City Treasurer,City Treasurer,40,3,2018,40
Civil Service Commission (1),147021,2018,Actual,YTD,2018-03-31,Civil Service Commission,,55,3,2018,55
Commerce,4875445,2018,Actual,YTD,2018-03-31,Office of the Director of Commerce,Commerce,42,3,2018,42
Commerce-Convention Center Subsidy,15000000,2018,Actual,YTD,2018-03-31,Commerce: Convention Center Subsidy,,42CC,3,2018,42
Commerce-Economic Stimulus,2794448,2018,Actual,YTD,2018-03-31,Commerce: Economic Stimulus,,42ES,3,2018,42
District Attorney,26295197,2018,Actual,YTD,2018-03-31,District Attorney's Office,DAO,69,3,2018,69
Finance,11141869,2018,Actual,YTD,2018-03-31,Office of the Director of Finance,Finance,35,3,2018,35
Finance-Disability-Reg #32 Payroll,1648503,2018,Actual,YTD,2018-03-31,Finance: Reg #32,,35R32,3,2018,35
Finance-Federal Grant Reserve,0,2018,Actual,YTD,2018-03-31,Finance: Federal Grant Reserve,,35FGR,3,2018,35
Finance-Community College Subsidy,30409207,2018,Actual,YTD,2018-03-31,Finance: Community College Subsidy,,35CC,3,2018,35
Finance - Employee Benefits,1069682167,2018,Actual,YTD,2018-03-31,Finance: Employee Benefits,,35EB,3,2018,35
Finance-Hero Scholarship Awards,2000,2018,Actual,YTD,2018-03-31,Finance: Hero Scholarship Awards,,35HA,3,2018,35
Finance-Indemnities,29885914,2018,Actual,YTD,2018-03-31,Finance: Indemnities,,35IN,3,2018,35
Finance-Refunds,9120,2018,Actual,YTD,2018-03-31,Finance: Refunds,,35R,3,2018,35
Finance-School District Contribution,0,2018,Actual,YTD,2018-03-31,Finance: School District Contribution,,35SD,3,2018,35
Finance-Witness Fees,48600,2018,Actual,YTD,2018-03-31,Finance: Witness Fees,,35WF,3,2018,35
Fire,181579967,2018,Actual,YTD,2018-03-31,Fire Department,Fire,13,3,2018,13
First Judicial District,77483709,2018,Actual,YTD,2018-03-31,First Judicial District,FJD,84,3,2018,84
Fleet Management,34270414,2018,Actual,YTD,2018-03-31,Office of Fleet Management,Fleet,25,3,2018,25
Fleet Management - Vehicle Purchases,15912082,2018,Actual,YTD,2018-03-31,Fleet: Vehicle Lease/Purchases,,25V,3,2018,25
Free Library,30937239,2018,Actual,YTD,2018-03-31,The Free Library of Philadelphia,Free Library,52,3,2018,52
Historical Commission,0,2018,Actual,YTD,2018-03-31,Historical Commission,,32,3,2018,32
Human Relations Commission,1456534,2018,Actual,YTD,2018-03-31,Commission on Human Relations,Human Relations,54,3,2018,54
Human Services,82570584,2018,Actual,YTD,2018-03-31,Department of Human Services,DHS,22,3,2018,22
Labor,1048316,2018,Actual,YTD,2018-03-31,Labor,,03,3,2018,03
Law,11741168,2018,Actual,YTD,2018-03-31,Law Department,Law,44,3,2018,44
Licenses & Inspections,24527193,2018,Actual,YTD,2018-03-31,Department of Licenses and Inspections,L&I,26,3,2018,26
L&I-Board of Building Standards,43248,2018,Actual,YTD,2018-03-31,L&I: Board of Building and Standards,,29,3,2018,29
L&I-Board of L & I Review,116182,2018,Actual,YTD,2018-03-31,L&I: Board of Review,,27,3,2018,27
L&I-Zoning Board of Adjustment,0,2018,Actual,YTD,2018-03-31,Zoning Board of Adjustments,ZBA,30,3,2018,30
Managing Director's Office,31533703,2018,Actual,YTD,2018-03-31,Managing Director's Office,MDO,10,3,2018,10
Managing Director-Legal Services,48824041,2018,Actual,YTD,2018-03-31,MDO: Legal Services,,10LS,3,2018,10
Mayor's Office,2984020,2018,Actual,YTD,2018-03-31,Mayor's Office,Mayor,05,3,2018,05
Mayor's Office-Scholarships,170000,2018,Actual,YTD,2018-03-31,Mayor's Office: Scholarships,,05S,3,2018,05
Mayor's Office-Comm. Empowerment & Opp.,1979223,2018,Actual,YTD,2018-03-31,Mayor's Office of Community Empowerment and Opportunity,CEO,08,3,2018,08
Mural Arts Program,1759285,2018,Actual,YTD,2018-03-31,Mural Arts Program,Mural Arts,50,3,2018,50
Office of Arts and Culture,4042070,2018,Actual,YTD,2018-03-31,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58,3,2018,58
Office of Behavioral Hith & Intellectual disAbility,13895821,2018,Actual,YTD,2018-03-31,Behavioral Health and Intellectual Disability Services,DBH/IDS,15,3,2018,15
Office of the Chief Administrative Officer,4476522,2018,Actual,YTD,2018-03-31,Office of the Chief Administrative Officer,CAO,65,3,2018,65
Office of Community Schools and Pre-K,22245268,2018,Actual,YTD,2018-03-31,Office of Children and Families,OCF,66,3,2018,66
Office of Homeless Services,44709002,2018,Actual,YTD,2018-03-31,Office of Homeless Services,OHS,24,3,2018,24
Office of Housing and Comm. Development,0,2018,Actual,YTD,2018-03-31,Office of Housing and Community Development,,06,3,2018,06
Office of Human Resources,4166857,2018,Actual,YTD,2018-03-31,Office of Human Resources,OHR,56,3,2018,56
Office of Innovation and Technology-Base,45270413,2018,Actual,YTD,2018-03-31,Office of Innovation and Technology,OIT,04,3,2018,04
Office of Innovation and Technology-911,14222815,2018,Actual,YTD,2018-03-31,OIT: 911,,04911,3,2018,04
Office of the Inspector General,1064713,2018,Actual,YTD,2018-03-31,Office of the Inspector General,OIG,48,3,2018,48
Office of Planning and Development,0,2018,Actual,YTD,2018-03-31,Mayor's Office of Planning and Development,,62,3,2018,62
Office of Property Assessment,9509011,2018,Actual,YTD,2018-03-31,Office of Property Assessment,OPA,59,3,2018,59
Office of Sustainability,599879,2018,Actual,YTD,2018-03-31,Office of Sustainability,Sustainability,49,3,2018,49
Parks and Recreation,46401277,2018,Actual,YTD,2018-03-31,Department of Parks and Recreation,Parks & Recreation,16,3,2018,16
Planning & Development,6538151,2018,Actual,YTD,2018-03-31,Department of Planning and Development,Planning & Development,72,3,2018,72
Police,495642295,2018,Actual,YTD,2018-03-31,Police Department,Police,11,3,2018,11
Prisons,214819086,2018,Actual,YTD,2018-03-31,Philadelphia Prison System,Prisons,23,3,2018,23
Procurement,3266440,2018,Actual,YTD,2018-03-31,Procurement Department,Procurement,38,3,2018,38
Public Health,105663194,2018,Actual,YTD,2018-03-31,Department of Public Health,Public Health,14,3,2018,14
Public Property,29811677,2018,Actual,YTD,2018-03-31,Department of Public Property,Public Property,20,3,2018,20
Public Property-SEPTA Subsidy,61659000,2018,Actual,YTD,2018-03-31,Public Property: SEPTA Subsidy,,20SS,3,2018,20
Public Property-Space Rentals,20193584,2018,Actual,YTD,2018-03-31,Public Property: Space Rentals,,20SR,3,2018,20
Public Property-Utilities,22640390,2018,Actual,YTD,2018-03-31,Public Property: Utilities,,20U,3,2018,20
Records,3302541,2018,Actual,YTD,2018-03-31,Department of Records,Records,31,3,2018,31
Register of Wills,2884230,2018,Actual,YTD,2018-03-31,Register of Wills,,68,3,2018,68
Revenue,20945230,2018,Actual,YTD,2018-03-31,Department of Revenue,Revenue,36,3,2018,36
Sheriff,20373708,2018,Actual,YTD,2018-03-31,Office of the Sheriff,Sheriff,70,3,2018,70
Sinking Fund Commission (Debt Service),240521739,2018,Actual,YTD,2018-03-31,Sinking Fund Commission,Sinking Fund,37,3,2018,37
Streets,107309460,2018,Actual,YTD,2018-03-31,Streets Department,Streets,12,3,2018,12
Art Museum Subsidy,2550000,2018,Target Budget,Full Year,2018-03-31,Art Museum,,34,3,2018,34
Atwater Kent Museum,297148,2018,Target Budget,Full Year,2018-03-31,Atwater Kent Museum,Atwater Kent,18,3,2018,18
Auditing (City Controller's Office),8695504,2018,Target Budget,Full Year,2018-03-31,City Controller's Office,,61,3,2018,61
Board of Ethics,1073764,2018,Target Budget,Full Year,2018-03-31,Board of Ethics,,45,3,2018,45
Board of Revision of Taxes,1024977,2018,Target Budget,Full Year,2018-03-31,Board of Revision of Taxes,BRT,63,3,2018,63
City Commissioners (Election Board),9877982,2018,Target Budget,Full Year,2018-03-31,City Commissioner's Office,City Commissioners,73,3,2018,73
City Council,17325693,2018,Target Budget,Full Year,2018-03-31,City Council,,01,3,2018,01
City Planning Commission,0,2018,Target Budget,Full Year,2018-03-31,City Planning Commission,,51,3,2018,51
City Representative,1212949,2018,Target Budget,Full Year,2018-03-31,Office of the City Representative,City Rep,41,3,2018,41
City Treasurer,1161245,2018,Target Budget,Full Year,2018-03-31,Office of the City Treasurer,City Treasurer,40,3,2018,40
Civil Service Commission (1),193031,2018,Target Budget,Full Year,2018-03-31,Civil Service Commission,,55,3,2018,55
Commerce,5617326,2018,Target Budget,Full Year,2018-03-31,Office of the Director of Commerce,Commerce,42,3,2018,42
Commerce-Convention Center Subsidy,15000000,2018,Target Budget,Full Year,2018-03-31,Commerce: Convention Center Subsidy,,42CC,3,2018,42
Commerce-Economic Stimulus,2854448,2018,Target Budget,Full Year,2018-03-31,Commerce: Economic Stimulus,,42ES,3,2018,42
District Attorney,37324364,2018,Target Budget,Full Year,2018-03-31,District Attorney's Office,DAO,69,3,2018,69
Finance,14557786,2018,Target Budget,Full Year,2018-03-31,Office of the Director of Finance,Finance,35,3,2018,35
Finance-Disability-Reg #32 Payroll,2650000,2018,Target Budget,Full Year,2018-03-31,Finance: Reg #32,,35R32,3,2018,35
Finance-Federal Grant Reserve,50893000,2018,Target Budget,Full Year,2018-03-31,Finance: Federal Grant Reserve,,35FGR,3,2018,35
Finance-Community College Subsidy,30409207,2018,Target Budget,Full Year,2018-03-31,Finance: Community College Subsidy,,35CC,3,2018,35
Finance - Employee Benefits,1299433756,2018,Target Budget,Full Year,2018-03-31,Finance: Employee Benefits,,35EB,3,2018,35
Finance-Hero Scholarship Awards,25000,2018,Target Budget,Full Year,2018-03-31,Finance: Hero Scholarship Awards,,35HA,3,2018,35
Finance-Indemnities,44920000,2018,Target Budget,Full Year,2018-03-31,Finance: Indemnities,,35IN,3,2018,35
Finance-Refunds,250000,2018,Target Budget,Full Year,2018-03-31,Finance: Refunds,,35R,3,2018,35
Finance-School District Contribution,104348281,2018,Target Budget,Full Year,2018-03-31,Finance: School District Contribution,,35SD,3,2018,35
Finance-Witness Fees,171518,2018,Target Budget,Full Year,2018-03-31,Finance: Witness Fees,,35WF,3,2018,35
Fire,257717239,2018,Target Budget,Full Year,2018-03-31,Fire Department,Fire,13,3,2018,13
First Judicial District,109498628,2018,Target Budget,Full Year,2018-03-31,First Judicial District,FJD,84,3,2018,84
Fleet Management,48870252,2018,Target Budget,Full Year,2018-03-31,Office of Fleet Management,Fleet,25,3,2018,25
Fleet Management - Vehicle Purchases,16047739,2018,Target Budget,Full Year,2018-03-31,Fleet: Vehicle Lease/Purchases,,25V,3,2018,25
Free Library,40602030,2018,Target Budget,Full Year,2018-03-31,The Free Library of Philadelphia,Free Library,52,3,2018,52
Historical Commission,0,2018,Target Budget,Full Year,2018-03-31,Historical Commission,,32,3,2018,32
Human Relations Commission,2154570,2018,Target Budget,Full Year,2018-03-31,Commission on Human Relations,Human Relations,54,3,2018,54
Human Services,109035530,2018,Target Budget,Full Year,2018-03-31,Department of Human Services,DHS,22,3,2018,22
Labor,1558598,2018,Target Budget,Full Year,2018-03-31,Labor,,03,3,2018,03
Law,15215686,2018,Target Budget,Full Year,2018-03-31,Law Department,Law,44,3,2018,44
Licenses & Inspections,35428244,2018,Target Budget,Full Year,2018-03-31,Department of Licenses and Inspections,L&I,26,3,2018,26
L&I-Board of Building Standards,73911,2018,Target Budget,Full Year,2018-03-31,L&I: Board of Building and Standards,,29,3,2018,29
L&I-Board of L & I Review,168349,2018,Target Budget,Full Year,2018-03-31,L&I: Board of Review,,27,3,2018,27
L&I-Zoning Board of Adjustment,0,2018,Target Budget,Full Year,2018-03-31,Zoning Board of Adjustments,ZBA,30,3,2018,30
Managing Director's Office,42542612,2018,Target Budget,Full Year,2018-03-31,Managing Director's Office,MDO,10,3,2018,10
Managing Director-Legal Services,48824041,2018,Target Budget,Full Year,2018-03-31,MDO: Legal Services,,10LS,3,2018,10
Mayor's Office,4425997,2018,Target Budget,Full Year,2018-03-31,Mayor's Office,Mayor,05,3,2018,05
Mayor's Office-Scholarships,200000,2018,Target Budget,Full Year,2018-03-31,Mayor's Office: Scholarships,,05S,3,2018,05
Mayor's Office-Comm. Empowerment & Opp.,2141500,2018,Target Budget,Full Year,2018-03-31,Mayor's Office of Community Empowerment and Opportunity,CEO,08,3,2018,08
Mural Arts Program,1909016,2018,Target Budget,Full Year,2018-03-31,Mural Arts Program,Mural Arts,50,3,2018,50
Office of Arts and Culture,4152056,2018,Target Budget,Full Year,2018-03-31,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58,3,2018,58
Office of Behavioral Hith & Intellectual disAbility,14200404,2018,Target Budget,Full Year,2018-03-31,Behavioral Health and Intellectual Disability Services,DBH/IDS,15,3,2018,15
Office of the Chief Administrative Officer,8041455,2018,Target Budget,Full Year,2018-03-31,Office of the Chief Administrative Officer,CAO,65,3,2018,65
Office of Community Schools and Pre-K,42499175,2018,Target Budget,Full Year,2018-03-31,Office of Children and Families,OCF,66,3,2018,66
Office of Homeless Services,48012584,2018,Target Budget,Full Year,2018-03-31,Office of Homeless Services,OHS,24,3,2018,24
Office of Housing and Comm. Development,0,2018,Target Budget,Full Year,2018-03-31,Office of Housing and Community Development,,06,3,2018,06
Office of Human Resources,5867729,2018,Target Budget,Full Year,2018-03-31,Office of Human Resources,OHR,56,3,2018,56
Office of Innovation and Technology-Base,61894584,2018,Target Budget,Full Year,2018-03-31,Office of Innovation and Technology,OIT,04,3,2018,04
Office of Innovation and Technology-911,20605908,2018,Target Budget,Full Year,2018-03-31,OIT: 911,,04911,3,2018,04
Office of the Inspector General,1636311,2018,Target Budget,Full Year,2018-03-31,Office of the Inspector General,OIG,48,3,2018,48
Office of Planning and Development,0,2018,Target Budget,Full Year,2018-03-31,Mayor's Office of Planning and Development,,62,3,2018,62
Office of Property Assessment,13815630,2018,Target Budget,Full Year,2018-03-31,Office of Property Assessment,OPA,59,3,2018,59
Office of Sustainability,929944,2018,Target Budget,Full Year,2018-03-31,Office of Sustainability,Sustainability,49,3,2018,49
Parks and Recreation,61058911,2018,Target Budget,Full Year,2018-03-31,Department of Parks and Recreation,Parks & Recreation,16,3,2018,16
Planning & Development,8769306,2018,Target Budget,Full Year,2018-03-31,Department of Planning and Development,Planning & Development,72,3,2018,72
Police,691342170,2018,Target Budget,Full Year,2018-03-31,Police Department,Police,11,3,2018,11
Prisons,258922056,2018,Target Budget,Full Year,2018-03-31,Philadelphia Prison System,Prisons,23,3,2018,23
Procurement,4881345,2018,Target Budget,Full Year,2018-03-31,Procurement Department,Procurement,38,3,2018,38
Public Health,136325462,2018,Target Budget,Full Year,2018-03-31,Department of Public Health,Public Health,14,3,2018,14
Public Property,65180347,2018,Target Budget,Full Year,2018-03-31,Department of Public Property,Public Property,20,3,2018,20
Public Property-SEPTA Subsidy,82749000,2018,Target Budget,Full Year,2018-03-31,Public Property: SEPTA Subsidy,,20SS,3,2018,20
Public Property-Space Rentals,24450268,2018,Target Budget,Full Year,2018-03-31,Public Property: Space Rentals,,20SR,3,2018,20
Public Property-Utilities,24655024,2018,Target Budget,Full Year,2018-03-31,Public Property: Utilities,,20U,3,2018,20
Records,4774091,2018,Target Budget,Full Year,2018-03-31,Department of Records,Records,31,3,2018,31
Register of Wills,4240393,2018,Target Budget,Full Year,2018-03-31,Register of Wills,,68,3,2018,68
