sector,parent_sector,year,fiscal_year,fiscal_quarter,total,date
Other Educational Services,Education,2019,2019,3,3276730.0,2019-01-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2019,2019,3,17461276.0,2019-01-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2019,2019,3,2421425.0,2019-01-01
Other Governments,Government,2019,2019,3,666327.0,2019-01-01
"Publishing, Broadcasting, and Other Information",,2019,2019,3,7189740.0,2019-01-01
"Real Estate, Rental and Leasing",,2019,2019,3,8410366.0,2019-01-01
State Government (PA),Government,2019,2019,3,3210962.0,2019-01-01
Other Sectors,,2019,2019,3,38430388.0,2019-01-01
Membership Organizations,Other Sectors,2019,2019,3,10302124.0,2019-01-01
Professional Services,,2019,2019,3,69915550.0,2019-01-01
Unclassified Accounts,,2019,2019,3,1023255.0,2019-01-01
Wholesale Trade,,2019,2019,3,11267681.0,2019-01-01
Legal Services,Professional Services,2019,2019,3,27798048.0,2019-01-01
Banking & Credit Unions,,2019,2019,3,11699790.0,2019-01-01
Computer,Professional Services,2019,2019,3,5472483.0,2019-01-01
"Arts, Entertainment, and Other Recreation",,2019,2019,3,4469081.0,2019-01-01
College and Universities,Education,2019,2019,3,34809842.0,2019-01-01
Government,,2019,2019,3,67774122.0,2019-01-01
Engineering & Architectural Services,Professional Services,2019,2019,3,6483256.0,2019-01-01
Employment/Outsourcing Agencies,Other Sectors,2019,2019,3,8776076.0,2019-01-01
Food & Beverage Products,Manufacturing,2019,2019,3,4027412.0,2019-01-01
Advertising and Other Professional Services,Professional Services,2019,2019,3,10941530.0,2019-01-01
Construction,,2019,2019,3,18160501.0,2019-01-01
Health and Social Services,,2019,2019,3,108509423.0,2019-01-01
Insurance,,2019,2019,3,22907082.0,2019-01-01
"Accounting, Auditing, Bookkeeping",Professional Services,2019,2019,3,6370196.0,2019-01-01
Federal Government,Government,2019,2019,3,29434160.0,2019-01-01
Education,,2019,2019,3,45271136.0,2019-01-01
"Chemicals, Petroleum Refining",Manufacturing,2019,2019,3,8268894.0,2019-01-01
"Elementary, Secondary Schools",Education,2019,2019,3,7184563.0,2019-01-01
"City, School District, Local Quasi Govt.",Government,2019,2019,3,34462673.0,2019-01-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2019,2019,3,12547838.0,2019-01-01
Hospitals,Health and Social Services,2019,2019,3,54656025.0,2019-01-01
Hotels,,2019,2019,3,2881043.0,2019-01-01
Services to Buildings,Other Sectors,2018,2019,2,2853657.0,2018-10-01
Hotels,,2018,2019,2,3129948.0,2018-10-01
College and Universities,Education,2018,2019,2,38356786.0,2018-10-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2018,2019,2,18095897.0,2018-10-01
Federal Government,Government,2018,2019,2,14034624.0,2018-10-01
"City, School District, Local Quasi Govt.",Government,2018,2019,2,30940930.0,2018-10-01
Security and Investigation Services,Other Sectors,2018,2019,2,2384630.0,2018-10-01
Securities / Financial Investments,,2018,2019,2,10984855.0,2018-10-01
Public Utilities,,2018,2019,2,3003125.0,2018-10-01
Engineering & Architectural Services,Professional Services,2018,2019,2,6445866.0,2018-10-01
Computer,Professional Services,2018,2019,2,5298586.0,2018-10-01
Retail Trade,,2018,2019,2,23712486.0,2018-10-01
Other Sectors,,2018,2019,2,37366073.0,2018-10-01
Manufacturing,,2018,2019,2,27161360.0,2018-10-01
Employment/Outsourcing Agencies,Other Sectors,2018,2019,2,8943287.0,2018-10-01
Construction,,2018,2019,2,18177759.0,2018-10-01
Restaurants,,2018,2019,2,14738724.0,2018-10-01
Insurance,,2018,2019,2,14867092.0,2018-10-01
Membership Organizations,Other Sectors,2018,2019,2,10053892.0,2018-10-01
Professional Services,,2018,2019,2,58368689.0,2018-10-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2018,2019,2,11954964.0,2018-10-01
"Real Estate, Rental and Leasing",,2018,2019,2,6944159.0,2018-10-01
"Elementary, Secondary Schools",Education,2018,2019,2,7440774.0,2018-10-01
Education,,2018,2019,2,48989128.0,2018-10-01
Pharmaceuticals,Manufacturing,2018,2019,2,5064094.0,2018-10-01
"Publishing, Broadcasting, and Other Information",,2018,2019,2,6534351.0,2018-10-01
Government,,2018,2019,2,48855638.0,2018-10-01
Banking & Credit Unions,,2018,2019,2,9064962.0,2018-10-01
"Accounting, Auditing, Bookkeeping",Professional Services,2018,2019,2,6679523.0,2018-10-01
Advertising and Other Professional Services,Professional Services,2018,2019,2,9846516.0,2018-10-01
Telecommunication,,2018,2019,2,11866780.0,2018-10-01
Nursing & Personal Care Facilities,Health and Social Services,2018,2019,2,10420042.0,2018-10-01
Miscellaneous Sectors,Other Sectors,2018,2019,2,13130608.0,2018-10-01
Transportation and Warehousing,,2018,2019,2,17720070.0,2018-10-01
"Arts, Entertainment, and Other Recreation",,2018,2019,2,4136523.0,2018-10-01
State Government (PA),Government,2018,2019,2,3262942.0,2018-10-01
Hospitals,Health and Social Services,2018,2019,2,54493347.0,2018-10-01
Metal Manufacturing,Manufacturing,2018,2019,2,2156062.0,2018-10-01
Health and Social Services,,2018,2019,2,107595312.0,2018-10-01
Transportation Equipment,Manufacturing,2018,2019,2,2539050.0,2018-10-01
Sport Teams,,2018,2019,2,6627952.0,2018-10-01
Food & Beverage Products,Manufacturing,2018,2019,2,4011079.0,2018-10-01
Social Services,Health and Social Services,2018,2019,2,12631063.0,2018-10-01
"Chemicals, Petroleum Refining",Manufacturing,2018,2019,2,4680056.0,2018-10-01
Other Governments,Government,2018,2019,2,617142.0,2018-10-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2018,2019,2,2407695.0,2018-10-01
Legal Services,Professional Services,2018,2019,2,18455883.0,2018-10-01
Unclassified Accounts,,2018,2019,2,726416.0,2018-10-01
Miscellaneous Manufacturing,Manufacturing,2018,2019,2,6303324.0,2018-10-01
Management Consulting,Professional Services,2018,2019,2,11642314.0,2018-10-01
Wholesale Trade,,2018,2019,2,10840733.0,2018-10-01
Other Educational Services,Education,2018,2019,2,3191566.0,2018-10-01
Miscellaneous Sectors,Other Sectors,2018,2019,1,13119951.0,2018-07-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2018,2019,1,2376371.0,2018-07-01
Professional Services,,2018,2019,1,54005332.0,2018-07-01
Hospitals,Health and Social Services,2018,2019,1,54181074.0,2018-07-01
Membership Organizations,Other Sectors,2018,2019,1,10181629.0,2018-07-01
Public Utilities,,2018,2019,1,3232299.0,2018-07-01
"Elementary, Secondary Schools",Education,2018,2019,1,6909413.0,2018-07-01
Employment/Outsourcing Agencies,Other Sectors,2018,2019,1,8256180.0,2018-07-01
Health and Social Services,,2018,2019,1,106394592.0,2018-07-01
Nursing & Personal Care Facilities,Health and Social Services,2018,2019,1,10566369.0,2018-07-01
Wholesale Trade,,2018,2019,1,10912907.0,2018-07-01
Food & Beverage Products,Manufacturing,2018,2019,1,3929523.0,2018-07-01
Pharmaceuticals,Manufacturing,2018,2019,1,4928106.0,2018-07-01
Engineering & Architectural Services,Professional Services,2018,2019,1,6044605.0,2018-07-01
Government,,2018,2019,1,67497199.0,2018-07-01
Other Educational Services,Education,2018,2019,1,3168675.0,2018-07-01
Metal Manufacturing,Manufacturing,2018,2019,1,2661728.0,2018-07-01
Hotels,,2018,2019,1,2956368.0,2018-07-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2018,2019,1,17322909.0,2018-07-01
Federal Government,Government,2018,2019,1,30099428.0,2018-07-01
Other Governments,Government,2018,2019,1,621233.0,2018-07-01
Other Sectors,,2018,2019,1,36826563.0,2018-07-01
Miscellaneous Manufacturing,Manufacturing,2018,2019,1,6209848.0,2018-07-01
Banking & Credit Unions,,2018,2019,1,8518276.0,2018-07-01
Services to Buildings,Other Sectors,2018,2019,1,2890013.0,2018-07-01
"Arts, Entertainment, and Other Recreation",,2018,2019,1,3877612.0,2018-07-01
Telecommunication,,2018,2019,1,10414381.0,2018-07-01
Advertising and Other Professional Services,Professional Services,2018,2019,1,9737921.0,2018-07-01
Security and Investigation Services,Other Sectors,2018,2019,1,2378791.0,2018-07-01
State Government (PA),Government,2018,2019,1,3476360.0,2018-07-01
College and Universities,Education,2018,2019,1,37477026.0,2018-07-01
Securities / Financial Investments,,2018,2019,1,11275068.0,2018-07-01
Sport Teams,,2018,2019,1,5317778.0,2018-07-01
Computer,Professional Services,2018,2019,1,5068587.0,2018-07-01
Retail Trade,,2018,2019,1,23172324.0,2018-07-01
Transportation Equipment,Manufacturing,2018,2019,1,2249540.0,2018-07-01
Social Services,Health and Social Services,2018,2019,1,12333435.0,2018-07-01
Manufacturing,,2018,2019,1,27231322.0,2018-07-01
"Chemicals, Petroleum Refining",Manufacturing,2018,2019,1,4876206.0,2018-07-01
Construction,,2018,2019,1,18100417.0,2018-07-01
Restaurants,,2018,2019,1,13724040.0,2018-07-01
"Publishing, Broadcasting, and Other Information",,2018,2019,1,6214771.0,2018-07-01
Education,,2018,2019,1,47555115.0,2018-07-01
Unclassified Accounts,,2018,2019,1,789113.0,2018-07-01
Management Consulting,Professional Services,2018,2019,1,10432991.0,2018-07-01
"Real Estate, Rental and Leasing",,2018,2019,1,7156183.0,2018-07-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2018,2019,1,11990806.0,2018-07-01
"City, School District, Local Quasi Govt.",Government,2018,2019,1,33300179.0,2018-07-01
Legal Services,Professional Services,2018,2019,1,16758454.0,2018-07-01
"Accounting, Auditing, Bookkeeping",Professional Services,2018,2019,1,5962773.0,2018-07-01
Insurance,,2018,2019,1,14369337.0,2018-07-01
Transportation and Warehousing,,2018,2019,1,17024837.0,2018-07-01
State Government (PA),Government,2018,2018,4,3351948.0,2018-04-01
Banking & Credit Unions,,2018,2018,4,9882198.0,2018-04-01
Other Educational Services,Education,2018,2018,4,3152072.0,2018-04-01
Government,,2018,2018,4,51128464.0,2018-04-01
"Publishing, Broadcasting, and Other Information",,2018,2018,4,6841059.0,2018-04-01
"Arts, Entertainment, and Other Recreation",,2018,2018,4,3871812.0,2018-04-01
Telecommunication,,2018,2018,4,14718238.0,2018-04-01
Nursing & Personal Care Facilities,Health and Social Services,2018,2018,4,10149855.0,2018-04-01
Health and Social Services,,2018,2018,4,102252176.0,2018-04-01
Transportation Equipment,Manufacturing,2018,2018,4,2384228.0,2018-04-01
Wholesale Trade,,2018,2018,4,10862875.0,2018-04-01
Transportation and Warehousing,,2018,2018,4,16734691.0,2018-04-01
Miscellaneous Sectors,Other Sectors,2018,2018,4,12663537.0,2018-04-01
Hospitals,Health and Social Services,2018,2018,4,52234492.0,2018-04-01
"Accounting, Auditing, Bookkeeping",Professional Services,2018,2018,4,5767166.0,2018-04-01
Unclassified Accounts,,2018,2018,4,1208792.0,2018-04-01
Advertising and Other Professional Services,Professional Services,2018,2018,4,9439270.0,2018-04-01
Social Services,Health and Social Services,2018,2018,4,11364289.0,2018-04-01
Sport Teams,,2018,2018,4,5033231.0,2018-04-01
"Chemicals, Petroleum Refining",Manufacturing,2018,2018,4,5506812.0,2018-04-01
Education,,2018,2018,4,47858704.0,2018-04-01
"Real Estate, Rental and Leasing",,2018,2018,4,7364514.0,2018-04-01
Public Utilities,,2018,2018,4,3536645.0,2018-04-01
Miscellaneous Manufacturing,Manufacturing,2018,2018,4,6133443.0,2018-04-01
Professional Services,,2018,2018,4,53031879.0,2018-04-01
Restaurants,,2018,2018,4,13765203.0,2018-04-01
Employment/Outsourcing Agencies,Other Sectors,2018,2018,4,8193441.0,2018-04-01
Construction,,2018,2018,4,16382686.0,2018-04-01
Retail Trade,,2018,2018,4,24118379.0,2018-04-01
Pharmaceuticals,Manufacturing,2018,2018,4,5577493.0,2018-04-01
Engineering & Architectural Services,Professional Services,2018,2018,4,6125862.0,2018-04-01
Computer,Professional Services,2018,2018,4,5073801.0,2018-04-01
Securities / Financial Investments,,2018,2018,4,16580833.0,2018-04-01
Security and Investigation Services,Other Sectors,2018,2018,4,2388081.0,2018-04-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2018,2018,4,16970363.0,2018-04-01
Federal Government,Government,2018,2018,4,16280919.0,2018-04-01
College and Universities,Education,2018,2018,4,37777952.0,2018-04-01
Services to Buildings,Other Sectors,2018,2018,4,2611070.0,2018-04-01
"City, School District, Local Quasi Govt.",Government,2018,2018,4,30847111.0,2018-04-01
"Elementary, Secondary Schools",Education,2018,2018,4,6928680.0,2018-04-01
Other Sectors,,2018,2018,4,35619540.0,2018-04-01
Food & Beverage Products,Manufacturing,2018,2018,4,4060425.0,2018-04-01
Other Governments,Government,2018,2018,4,648485.0,2018-04-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2018,2018,4,11533177.0,2018-04-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2018,2018,4,2361526.0,2018-04-01
Insurance,,2018,2018,4,15569860.0,2018-04-01
Hotels,,2018,2018,4,2864730.0,2018-04-01
Management Consulting,Professional Services,2018,2018,4,10099605.0,2018-04-01
Manufacturing,,2018,2018,4,28325304.0,2018-04-01
Legal Services,Professional Services,2018,2018,4,16526175.0,2018-04-01
Membership Organizations,Other Sectors,2018,2018,4,9763410.0,2018-04-01
Metal Manufacturing,Manufacturing,2018,2018,4,2301376.0,2018-04-01
Security and Investigation Services,Other Sectors,2018,2018,3,2280616.0,2018-01-01
Nursing & Personal Care Facilities,Health and Social Services,2018,2018,3,9933400.0,2018-01-01
Membership Organizations,Other Sectors,2018,2018,3,9693909.0,2018-01-01
Telecommunication,,2018,2018,3,15415327.0,2018-01-01
Public Utilities,,2018,2018,3,4759393.0,2018-01-01
College and Universities,Education,2018,2018,3,33387626.0,2018-01-01
Health and Social Services,,2018,2018,3,100528309.0,2018-01-01
Professional Services,,2018,2018,3,66390046.0,2018-01-01
Transportation Equipment,Manufacturing,2018,2018,3,2589347.0,2018-01-01
Services to Buildings,Other Sectors,2018,2018,3,2750797.0,2018-01-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2018,2018,3,16354039.0,2018-01-01
Hotels,,2018,2018,3,2782529.0,2018-01-01
Wholesale Trade,,2018,2018,3,11586046.0,2018-01-01
Education,,2018,2018,3,43423950.0,2018-01-01
"Elementary, Secondary Schools",Education,2018,2018,3,6878823.0,2018-01-01
Federal Government,Government,2018,2018,3,28828290.0,2018-01-01
Other Sectors,,2018,2018,3,35953273.0,2018-01-01
"Arts, Entertainment, and Other Recreation",,2018,2018,3,3817777.0,2018-01-01
Miscellaneous Sectors,Other Sectors,2018,2018,3,13281825.0,2018-01-01
Metal Manufacturing,Manufacturing,2018,2018,3,2524166.0,2018-01-01
Sport Teams,,2018,2018,3,6377587.0,2018-01-01
Management Consulting,Professional Services,2018,2018,3,11997854.0,2018-01-01
"Chemicals, Petroleum Refining",Manufacturing,2018,2018,3,7126829.0,2018-01-01
Other Governments,Government,2018,2018,3,573704.0,2018-01-01
Food & Beverage Products,Manufacturing,2018,2018,3,4011663.0,2018-01-01
Other Educational Services,Education,2018,2018,3,3157501.0,2018-01-01
Legal Services,Professional Services,2018,2018,3,27505698.0,2018-01-01
Banking & Credit Unions,,2018,2018,3,12313033.0,2018-01-01
Social Services,Health and Social Services,2018,2018,3,11291116.0,2018-01-01
Insurance,,2018,2018,3,22798887.0,2018-01-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2018,2018,3,12540747.0,2018-01-01
"City, School District, Local Quasi Govt.",Government,2018,2018,3,30546383.0,2018-01-01
Government,,2018,2018,3,63182565.0,2018-01-01
State Government (PA),Government,2018,2018,3,3234188.0,2018-01-01
Securities / Financial Investments,,2018,2018,3,16978935.0,2018-01-01
"Real Estate, Rental and Leasing",,2018,2018,3,8308966.0,2018-01-01
Pharmaceuticals,Manufacturing,2018,2018,3,7975108.0,2018-01-01
Computer,Professional Services,2018,2018,3,5075031.0,2018-01-01
Construction,,2018,2018,3,17100111.0,2018-01-01
Employment/Outsourcing Agencies,Other Sectors,2018,2018,3,7946125.0,2018-01-01
Miscellaneous Manufacturing,Manufacturing,2018,2018,3,6155990.0,2018-01-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2018,2018,3,2264714.0,2018-01-01
Restaurants,,2018,2018,3,13613279.0,2018-01-01
Unclassified Accounts,,2018,2018,3,1206398.0,2018-01-01
Hospitals,Health and Social Services,2018,2018,3,50409007.0,2018-01-01
Retail Trade,,2018,2018,3,23981870.0,2018-01-01
Manufacturing,,2018,2018,3,32647818.0,2018-01-01
"Publishing, Broadcasting, and Other Information",,2018,2018,3,6434945.0,2018-01-01
"Accounting, Auditing, Bookkeeping",Professional Services,2018,2018,3,6118644.0,2018-01-01
Advertising and Other Professional Services,Professional Services,2018,2018,3,9465888.0,2018-01-01
Transportation and Warehousing,,2018,2018,3,17386235.0,2018-01-01
Engineering & Architectural Services,Professional Services,2018,2018,3,6226930.0,2018-01-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2017,2018,2,16258030.0,2017-10-01
Legal Services,Professional Services,2017,2018,2,19681326.0,2017-10-01
State Government (PA),Government,2017,2018,2,3135561.0,2017-10-01
Other Sectors,,2017,2018,2,35162587.0,2017-10-01
Government,,2017,2018,2,48040016.0,2017-10-01
Hotels,,2017,2018,2,2786546.0,2017-10-01
"City, School District, Local Quasi Govt.",Government,2017,2018,2,30944572.0,2017-10-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2017,2018,2,11789866.0,2017-10-01
Retail Trade,,2017,2018,2,22312310.0,2017-10-01
Hospitals,Health and Social Services,2017,2018,2,53498223.0,2017-10-01
Insurance,,2017,2018,2,14663442.0,2017-10-01
Social Services,Health and Social Services,2017,2018,2,10404290.0,2017-10-01
Transportation and Warehousing,,2017,2018,2,16504006.0,2017-10-01
Banking & Credit Unions,,2017,2018,2,8741383.0,2017-10-01
Unclassified Accounts,,2017,2018,2,975213.0,2017-10-01
Securities / Financial Investments,,2017,2018,2,10838386.0,2017-10-01
Other Educational Services,Education,2017,2018,2,3053494.0,2017-10-01
Food & Beverage Products,Manufacturing,2017,2018,2,4539885.0,2017-10-01
Education,,2017,2018,2,49576997.0,2017-10-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2017,2018,2,2177429.0,2017-10-01
Wholesale Trade,,2017,2018,2,10837963.0,2017-10-01
Other Governments,Government,2017,2018,2,540739.0,2017-10-01
Miscellaneous Manufacturing,Manufacturing,2017,2018,2,5625241.0,2017-10-01
"Chemicals, Petroleum Refining",Manufacturing,2017,2018,2,4556112.0,2017-10-01
Management Consulting,Professional Services,2017,2018,2,10245947.0,2017-10-01
"Elementary, Secondary Schools",Education,2017,2018,2,6775589.0,2017-10-01
Construction,,2017,2018,2,16637377.0,2017-10-01
Sport Teams,,2017,2018,2,6656565.0,2017-10-01
Metal Manufacturing,Manufacturing,2017,2018,2,2154889.0,2017-10-01
Manufacturing,,2017,2018,2,26444003.0,2017-10-01
Restaurants,,2017,2018,2,13596648.0,2017-10-01
"Arts, Entertainment, and Other Recreation",,2017,2018,2,3857844.0,2017-10-01
Nursing & Personal Care Facilities,Health and Social Services,2017,2018,2,9580837.0,2017-10-01
Professional Services,,2017,2018,2,55870396.0,2017-10-01
Transportation Equipment,Manufacturing,2017,2018,2,2541221.0,2017-10-01
Computer,Professional Services,2017,2018,2,4806741.0,2017-10-01
Security and Investigation Services,Other Sectors,2017,2018,2,2307339.0,2017-10-01
Health and Social Services,,2017,2018,2,101531244.0,2017-10-01
Engineering & Architectural Services,Professional Services,2017,2018,2,6025357.0,2017-10-01
"Real Estate, Rental and Leasing",,2017,2018,2,6591465.0,2017-10-01
College and Universities,Education,2017,2018,2,39747914.0,2017-10-01
"Accounting, Auditing, Bookkeeping",Professional Services,2017,2018,2,6264282.0,2017-10-01
"Publishing, Broadcasting, and Other Information",,2017,2018,2,6137283.0,2017-10-01
Public Utilities,,2017,2018,2,3072915.0,2017-10-01
Membership Organizations,Other Sectors,2017,2018,2,9615289.0,2017-10-01
Miscellaneous Sectors,Other Sectors,2017,2018,2,12092415.0,2017-10-01
Services to Buildings,Other Sectors,2017,2018,2,3004904.0,2017-10-01
Pharmaceuticals,Manufacturing,2017,2018,2,4849227.0,2017-10-01
Employment/Outsourcing Agencies,Other Sectors,2017,2018,2,8142642.0,2017-10-01
Telecommunication,,2017,2018,2,10972640.0,2017-10-01
Advertising and Other Professional Services,Professional Services,2017,2018,2,8846743.0,2017-10-01
Federal Government,Government,2017,2018,2,13419145.0,2017-10-01
Construction,,2017,2018,1,17193143.0,2017-07-01
Security and Investigation Services,Other Sectors,2017,2018,1,2331922.0,2017-07-01
Other Sectors,,2017,2018,1,35553024.0,2017-07-01
Services to Buildings,Other Sectors,2017,2018,1,3116482.0,2017-07-01
Social Services,Health and Social Services,2017,2018,1,10346226.0,2017-07-01
Engineering & Architectural Services,Professional Services,2017,2018,1,5523333.0,2017-07-01
Other Governments,Government,2017,2018,1,584842.0,2017-07-01
"Chemicals, Petroleum Refining",Manufacturing,2017,2018,1,4398235.0,2017-07-01
Computer,Professional Services,2017,2018,1,4675323.0,2017-07-01
Professional Services,,2017,2018,1,50441068.0,2017-07-01
Membership Organizations,Other Sectors,2017,2018,1,9644408.0,2017-07-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2017,2018,1,11474138.0,2017-07-01
Securities / Financial Investments,,2017,2018,1,11963183.0,2017-07-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2017,2018,1,15427057.0,2017-07-01
Employment/Outsourcing Agencies,Other Sectors,2017,2018,1,8613959.0,2017-07-01
Federal Government,Government,2017,2018,1,30370937.0,2017-07-01
College and Universities,Education,2017,2018,1,36458659.0,2017-07-01
Food & Beverage Products,Manufacturing,2017,2018,1,3908619.0,2017-07-01
"City, School District, Local Quasi Govt.",Government,2017,2018,1,34439467.0,2017-07-01
Manufacturing,,2017,2018,1,25640353.0,2017-07-01
Restaurants,,2017,2018,1,13150870.0,2017-07-01
Legal Services,Professional Services,2017,2018,1,16675601.0,2017-07-01
Retail Trade,,2017,2018,1,21957634.0,2017-07-01
Pharmaceuticals,Manufacturing,2017,2018,1,4765617.0,2017-07-01
Insurance,,2017,2018,1,13633260.0,2017-07-01
Wholesale Trade,,2017,2018,1,10676214.0,2017-07-01
Other Educational Services,Education,2017,2018,1,2880456.0,2017-07-01
Education,,2017,2018,1,45876223.0,2017-07-01
"Accounting, Auditing, Bookkeeping",Professional Services,2017,2018,1,6002150.0,2017-07-01
"Arts, Entertainment, and Other Recreation",,2017,2018,1,3701076.0,2017-07-01
Government,,2017,2018,1,68595341.0,2017-07-01
"Publishing, Broadcasting, and Other Information",,2017,2018,1,5851059.0,2017-07-01
Public Utilities,,2017,2018,1,3365964.0,2017-07-01
Telecommunication,,2017,2018,1,9524111.0,2017-07-01
Nursing & Personal Care Facilities,Health and Social Services,2017,2018,1,9729030.0,2017-07-01
Banking & Credit Unions,,2017,2018,1,8279267.0,2017-07-01
Hospitals,Health and Social Services,2017,2018,1,49484036.0,2017-07-01
Unclassified Accounts,,2017,2018,1,965519.0,2017-07-01
Hotels,,2017,2018,1,2774988.0,2017-07-01
Transportation and Warehousing,,2017,2018,1,15475879.0,2017-07-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2017,2018,1,2205141.0,2017-07-01
Transportation Equipment,Manufacturing,2017,2018,1,2499380.0,2017-07-01
State Government (PA),Government,2017,2018,1,3200095.0,2017-07-01
Miscellaneous Manufacturing,Manufacturing,2017,2018,1,5682162.0,2017-07-01
Miscellaneous Sectors,Other Sectors,2017,2018,1,11846253.0,2017-07-01
Sport Teams,,2017,2018,1,5042016.0,2017-07-01
Advertising and Other Professional Services,Professional Services,2017,2018,1,8295495.0,2017-07-01
Health and Social Services,,2017,2018,1,96460487.0,2017-07-01
Management Consulting,Professional Services,2017,2018,1,9269169.0,2017-07-01
Metal Manufacturing,Manufacturing,2017,2018,1,2181200.0,2017-07-01
"Real Estate, Rental and Leasing",,2017,2018,1,6979735.0,2017-07-01
"Elementary, Secondary Schools",Education,2017,2018,1,6537108.0,2017-07-01
Employment/Outsourcing Agencies,Other Sectors,2017,2017,4,7515035.0,2017-04-01
"Arts, Entertainment, and Other Recreation",,2017,2017,4,3627292.0,2017-04-01
Miscellaneous Sectors,Other Sectors,2017,2017,4,12121344.0,2017-04-01
Professional Services,,2017,2017,4,50231322.0,2017-04-01
Services to Buildings,Other Sectors,2017,2017,4,2610846.0,2017-04-01
Manufacturing,,2017,2017,4,27501298.0,2017-04-01
Advertising and Other Professional Services,Professional Services,2017,2017,4,8909880.0,2017-04-01
Telecommunication,,2017,2017,4,14329131.0,2017-04-01
Public Utilities,,2017,2017,4,3310251.0,2017-04-01
Nursing & Personal Care Facilities,Health and Social Services,2017,2017,4,9369785.0,2017-04-01
Federal Government,Government,2017,2017,4,19530242.0,2017-04-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2017,2017,4,2246840.0,2017-04-01
Securities / Financial Investments,,2017,2017,4,13768628.0,2017-04-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2017,2017,4,11554200.0,2017-04-01
Sport Teams,,2017,2017,4,3721837.0,2017-04-01
Health and Social Services,,2017,2017,4,98119293.0,2017-04-01
Membership Organizations,Other Sectors,2017,2017,4,9403252.0,2017-04-01
Engineering & Architectural Services,Professional Services,2017,2017,4,5925401.0,2017-04-01
Restaurants,,2017,2017,4,12944523.0,2017-04-01
"Elementary, Secondary Schools",Education,2017,2017,4,7035455.0,2017-04-01
Transportation Equipment,Manufacturing,2017,2017,4,2776708.0,2017-04-01
Security and Investigation Services,Other Sectors,2017,2017,4,2295858.0,2017-04-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2017,2017,4,15639406.0,2017-04-01
College and Universities,Education,2017,2017,4,33448226.0,2017-04-01
Computer,Professional Services,2017,2017,4,4767713.0,2017-04-01
Management Consulting,Professional Services,2017,2017,4,9033631.0,2017-04-01
Banking & Credit Unions,,2017,2017,4,9995296.0,2017-04-01
Metal Manufacturing,Manufacturing,2017,2017,4,2209384.0,2017-04-01
Insurance,,2017,2017,4,15291671.0,2017-04-01
Wholesale Trade,,2017,2017,4,10567438.0,2017-04-01
Government,,2017,2017,4,52048733.0,2017-04-01
Hotels,,2017,2017,4,2726914.0,2017-04-01
Food & Beverage Products,Manufacturing,2017,2017,4,3783371.0,2017-04-01
Other Governments,Government,2017,2017,4,558361.0,2017-04-01
Construction,,2017,2017,4,16452814.0,2017-04-01
Other Educational Services,Education,2017,2017,4,3061725.0,2017-04-01
"Accounting, Auditing, Bookkeeping",Professional Services,2017,2017,4,6077420.0,2017-04-01
Retail Trade,,2017,2017,4,22745947.0,2017-04-01
Legal Services,Professional Services,2017,2017,4,15517277.0,2017-04-01
Miscellaneous Manufacturing,Manufacturing,2017,2017,4,5901393.0,2017-04-01
"Real Estate, Rental and Leasing",,2017,2017,4,6953522.0,2017-04-01
Hospitals,Health and Social Services,2017,2017,4,51694719.0,2017-04-01
Social Services,Health and Social Services,2017,2017,4,9861183.0,2017-04-01
"Chemicals, Petroleum Refining",Manufacturing,2017,2017,4,5036852.0,2017-04-01
"Publishing, Broadcasting, and Other Information",,2017,2017,4,5639543.0,2017-04-01
Unclassified Accounts,,2017,2017,4,1427781.0,2017-04-01
Education,,2017,2017,4,43545404.0,2017-04-01
"City, School District, Local Quasi Govt.",Government,2017,2017,4,28731372.0,2017-04-01
State Government (PA),Government,2017,2017,4,3228759.0,2017-04-01
Pharmaceuticals,Manufacturing,2017,2017,4,5546750.0,2017-04-01
Transportation and Warehousing,,2017,2017,4,15315516.0,2017-04-01
Other Sectors,,2017,2017,4,33946334.0,2017-04-01
Construction,,2017,2017,3,16965383.0,2017-01-01
