dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation,report_quarter,report_fiscal_year,dept_major_code
Fleet Management,18544869.0,2014,Actual,YTD,2013-09-30,Office of Fleet Management,25,Fleet,1,2014,25
Fleet Management - Vehicle Purchases,5530796.0,2014,Actual,YTD,2013-09-30,Fleet: Vehicle Lease/Purchases,25-V,,1,2014,25
Free Library,10091829.0,2014,Actual,YTD,2013-09-30,The Free Library of Philadelphia,52,Free Library,1,2014,52
Historical Commission,73855.0,2014,Actual,YTD,2013-09-30,Historical Commission,32,,1,2014,32
Human Relations Commission,363863.0,2014,Actual,YTD,2013-09-30,Commission on Human Relations,54,Human Relations,1,2014,54
Human Services,62828595.0,2014,Actual,YTD,2013-09-30,Department of Human Services,22,DHS,1,2014,22
Labor Relations,90843.0,2014,Actual,YTD,2013-09-30,Labor,03,,1,2014,03
Law,4839048.0,2014,Actual,YTD,2013-09-30,Law Department,44,Law,1,2014,44
Licenses & Inspections,5738263.0,2014,Actual,YTD,2013-09-30,Department of Licenses and Inspections,26,L&I,1,2014,26
L&I-Board of Building Standards,16705.0,2014,Actual,YTD,2013-09-30,L&I: Board of Building and Standards,29,,1,2014,29
L&I-Board of L & I Review,27536.0,2014,Actual,YTD,2013-09-30,L&I: Board of Review,27,,1,2014,27
L&I-Zoning Board of Adjustment,83252.0,2014,Actual,YTD,2013-09-30,Zoning Board of Adjustments,30,ZBA,1,2014,30
Managing Director's Office,10827292.0,2014,Actual,YTD,2013-09-30,Managing Director's Office,10,MDO,1,2014,10
Managing Director-Legal Services,37683725.0,2014,Actual,YTD,2013-09-30,MDO: Legal Services,10-LS,,1,2014,10
Mayor's Office,1595500.0,2014,Actual,YTD,2013-09-30,Mayor's Office,05,Mayor,1,2014,05
Mayor's Office-Scholarships,200000.0,2014,Actual,YTD,2013-09-30,Mayor's Office: Scholarships,05-S,,1,2014,05
Mayor's Office of Transportation & Utilities,259305.0,2014,Actual,YTD,2013-09-30,Mayor's Office of Transportation and Utilities,46,,1,2014,46
Mural Arts Program,94390.0,2014,Actual,YTD,2013-09-30,Mural Arts Program,50,Mural Arts,1,2014,50
Office of Arts and Culture,666199.0,2014,Actual,YTD,2013-09-30,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,1,2014,58
Off. of Behavioral Hith & Intellectual disAbility,12659405.0,2014,Actual,YTD,2013-09-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,1,2014,15
Office of Housing and Comm. Development,2443500.0,2014,Actual,YTD,2013-09-30,Office of Housing and Community Development,06,,1,2014,06
Office of Human Resources,1383264.0,2014,Actual,YTD,2013-09-30,Office of Human Resources,56,OHR,1,2014,56
Office of Innovation and Technology,31086447.0,2014,Actual,YTD,2013-09-30,Office of Innovation and Technology,04,OIT,1,2014,04
Office of the Inspector General,338193.0,2014,Actual,YTD,2013-09-30,Office of the Inspector General,48,OIG,1,2014,48
Office of Property Assessment,2355824.0,2014,Actual,YTD,2013-09-30,Office of Property Assessment,59,OPA,1,2014,59
Office of Supportive Housing,34174531.0,2014,Actual,YTD,2013-09-30,Office of Homeless Services,24,OHS,1,2014,24
Parks and Recreation,18055547.0,2014,Actual,YTD,2013-09-30,Department of Parks and Recreation,16,Parks & Recreation,1,2014,16
Police,128434628.0,2014,Actual,YTD,2013-09-30,Police Department,11,Police,1,2014,11
Prisons,96604934.0,2014,Actual,YTD,2013-09-30,Philadelphia Prison System,23,Prisons,1,2014,23
Procurement,719578.0,2014,Actual,YTD,2013-09-30,Procurement Department,38,Procurement,1,2014,38
Public Health,65805394.0,2014,Actual,YTD,2013-09-30,Department of Public Health,14,Public Health,1,2014,14
Public Property,13778073.0,2014,Actual,YTD,2013-09-30,Department of Public Property,20,Public Property,1,2014,20
Public Property-SEPTA Subsidy,16504000.0,2014,Actual,YTD,2013-09-30,Public Property: SEPTA Subsidy,20-SS,,1,2014,20
Public Property-Space Rentals,19074780.0,2014,Actual,YTD,2013-09-30,Public Property: Space Rentals,20-SR,,1,2014,20
Public Property-Utilities,15231553.0,2014,Actual,YTD,2013-09-30,Public Property: Utilities,20-U,,1,2014,20
Records,1351831.0,2014,Actual,YTD,2013-09-30,Department of Records,31,Records,1,2014,31
Register of Wills,772639.0,2014,Actual,YTD,2013-09-30,Register of Wills,68,,1,2014,68
Revenue,4641012.0,2014,Actual,YTD,2013-09-30,Department of Revenue,36,Revenue,1,2014,36
Sheriff,3356683.0,2014,Actual,YTD,2013-09-30,Office of the Sheriff,70,Sheriff,1,2014,70
Sinking Fund Commission (Debt Service),102063520.0,2014,Actual,YTD,2013-09-30,Sinking Fund Commission,37,Sinking Fund,1,2014,37
Streets-Sanitation,49244335.0,2014,Actual,YTD,2013-09-30,Streets: Sanitation,12-S,,1,2014,12
Streets-Transportation,8497614.0,2014,Actual,YTD,2013-09-30,Streets: Transportation,12-T,,1,2014,12
Youth Commission,15620.0,2014,Actual,YTD,2013-09-30,Youth Commission,47,,1,2014,47
Art Museum Subsidy,2550000.0,2014,Target Budget,Full Year,2013-09-30,Art Museum,34,,1,2014,34
Atwater Kent Museum,270674.0,2014,Target Budget,Full Year,2013-09-30,Atwater Kent Museum,18,Atwater Kent,1,2014,18
Auditing (City Controller's Office),7696397.0,2014,Target Budget,Full Year,2013-09-30,City Controller's Office,61,,1,2014,61
Board of Ethics,1000000.0,2014,Target Budget,Full Year,2013-09-30,Board of Ethics,45,,1,2014,45
Board of Revision of Taxes,1050587.0,2014,Target Budget,Full Year,2013-09-30,Board of Revision of Taxes,63,BRT,1,2014,63
City Commissioners (Election Board),8889014.0,2014,Target Budget,Full Year,2013-09-30,City Commissioner's Office,73,City Commissioners,1,2014,73
City Council,15814559.0,2014,Target Budget,Full Year,2013-09-30,City Council,01,,1,2014,01
City Planning Commission,2272534.0,2014,Target Budget,Full Year,2013-09-30,City Planning Commission,51,,1,2014,51
City Representative,1005915.0,2014,Target Budget,Full Year,2013-09-30,Office of the City Representative,41,City Rep,1,2014,41
City Treasurer,899260.0,2014,Target Budget,Full Year,2013-09-30,Office of the City Treasurer,40,City Treasurer,1,2014,40
Civil Service Commission (1),37387323.0,2014,Target Budget,Full Year,2013-09-30,Civil Service Commission,55,,1,2014,55
Commerce,2710189.0,2014,Target Budget,Full Year,2013-09-30,Office of the Director of Commerce,42,Commerce,1,2014,42
Commerce-Convention Center Subsidy,15000000.0,2014,Target Budget,Full Year,2013-09-30,Commerce: Convention Center Subsidy,42-CC,,1,2014,42
Commerce-Economic Stimulus,1294448.0,2014,Target Budget,Full Year,2013-09-30,Commerce: Economic Stimulus,42-ES,,1,2014,42
District Attorney,32081616.0,2014,Target Budget,Full Year,2013-09-30,District Attorney's Office,69,DAO,1,2014,69
Finance,17349592.0,2014,Target Budget,Full Year,2013-09-30,Office of the Director of Finance,35,Finance,1,2014,35
Finance-Community College Subsidy,26409207.0,2014,Target Budget,Full Year,2013-09-30,Finance: Community College Subsidy,35-CC,,1,2014,35
Finance - Employee Benefits,1226624409.0,2014,Target Budget,Full Year,2013-09-30,Finance: Employee Benefits,35-EB,Employee Benefits,1,2014,35
Employee Benefits: Unemployment Compensation,5580260.0,2014,Target Budget,Full Year,2013-09-30,Employee Benefits: Unemployment Compensation,35-EB-UC,,1,2014,35
Employee Benefits: Employee Disability,63316041.0,2014,Target Budget,Full Year,2013-09-30,Employee Benefits: Employee Disability,35-EB-DIS,,1,2014,35
Employee Benefits: Pension Obligation Bonds,105350670.0,2014,Target Budget,Full Year,2013-09-30,Employee Benefits: Pension Obligation Bonds,35-EB-POB,,1,2014,35
Employee Benefits: Pension,562169000.0,2014,Target Budget,Full Year,2013-09-30,Employee Benefits: Pension,35-EB-PEN,,1,2014,35
Employee Benefits: FICA,65003402.0,2014,Target Budget,Full Year,2013-09-30,Employee Benefits: FICA,35-EB-FICA,,1,2014,35
Employee Benefits: Flex Cash Payments,1000000.0,2014,Target Budget,Full Year,2013-09-30,Employee Benefits: Flex Cash Payments,35-EB-FLEX,,1,2014,35
Employee Benefits: Health / Medical,411948784.0,2014,Target Budget,Full Year,2013-09-30,Employee Benefits: Health/Medical,35-EB-HM,,1,2014,35
Employee Benefits: Group Life Insurance,7750000.0,2014,Target Budget,Full Year,2013-09-30,Employee Benefits: Group Life Insurance,35-EB-GLI,,1,2014,35
Employee Benefits: Group Legal,4381252.0,2014,Target Budget,Full Year,2013-09-30,Employee Benefits: Group Legal,35-EB-GL,,1,2014,35
Employee Benefits: Tool Allowance,125000.0,2014,Target Budget,Full Year,2013-09-30,Employee Benefits: Tool Allowance,35-EB-TA,,1,2014,35
Finance-Hero Scholarship Awards,25000.0,2014,Target Budget,Full Year,2013-09-30,Finance: Hero Scholarship Awards,35-HA,,1,2014,35
Finance-Indemnities,32500000.0,2014,Target Budget,Full Year,2013-09-30,Finance: Indemnities,35-IN,,1,2014,35
Finance-Refunds,250000.0,2014,Target Budget,Full Year,2013-09-30,Finance: Refunds,35-R,,1,2014,35
Finance-School District Contribution,114050100.0,2014,Target Budget,Full Year,2013-09-30,Finance: School District Contribution,35-SD,,1,2014,35
Finance-Witness Fees,171518.0,2014,Target Budget,Full Year,2013-09-30,Finance: Witness Fees,35-WF,,1,2014,35
Fire,244669197.0,2014,Target Budget,Full Year,2013-09-30,Fire Department,13,Fire,1,2014,13
First Judicial District,104973196.0,2014,Target Budget,Full Year,2013-09-30,First Judicial District,84,FJD,1,2014,84
Fleet Management,47479779.0,2014,Target Budget,Full Year,2013-09-30,Office of Fleet Management,25,Fleet,1,2014,25
Fleet Management - Vehicle Purchases,8965000.0,2014,Target Budget,Full Year,2013-09-30,Fleet: Vehicle Lease/Purchases,25-V,,1,2014,25
Free Library,35258328.0,2014,Target Budget,Full Year,2013-09-30,The Free Library of Philadelphia,52,Free Library,1,2014,52
Historical Commission,396837.0,2014,Target Budget,Full Year,2013-09-30,Historical Commission,32,,1,2014,32
Human Relations Commission,2013747.0,2014,Target Budget,Full Year,2013-09-30,Commission on Human Relations,54,Human Relations,1,2014,54
Human Services,98338951.0,2014,Target Budget,Full Year,2013-09-30,Department of Human Services,22,DHS,1,2014,22
Labor Relations,553453.0,2014,Target Budget,Full Year,2013-09-30,Labor,03,,1,2014,03
Law,12822255.0,2014,Target Budget,Full Year,2013-09-30,Law Department,44,Law,1,2014,44
Licenses & Inspections,22588074.0,2014,Target Budget,Full Year,2013-09-30,Department of Licenses and Inspections,26,L&I,1,2014,26
L&I-Board of Building Standards,71198.0,2014,Target Budget,Full Year,2013-09-30,L&I: Board of Building and Standards,29,,1,2014,29
L&I-Board of L & I Review,162034.0,2014,Target Budget,Full Year,2013-09-30,L&I: Board of Review,27,,1,2014,27
L&I-Zoning Board of Adjustment,357397.0,2014,Target Budget,Full Year,2013-09-30,Zoning Board of Adjustments,30,ZBA,1,2014,30
Managing Director's Office,33871145.0,2014,Target Budget,Full Year,2013-09-30,Managing Director's Office,10,MDO,1,2014,10
Managing Director-Legal Services,40146067.0,2014,Target Budget,Full Year,2013-09-30,MDO: Legal Services,10-LS,,1,2014,10
Mayor's Office,5191881.0,2014,Target Budget,Full Year,2013-09-30,Mayor's Office,05,Mayor,1,2014,05
Mayor's Office-Scholarships,200000.0,2014,Target Budget,Full Year,2013-09-30,Mayor's Office: Scholarships,05-S,,1,2014,05
Mayor's Office of Transportation & Utilities,788817.0,2014,Target Budget,Full Year,2013-09-30,Mayor's Office of Transportation and Utilities,46,,1,2014,46
Mural Arts Program,1401425.0,2014,Target Budget,Full Year,2013-09-30,Mural Arts Program,50,Mural Arts,1,2014,50
Office of Arts and Culture,2671288.0,2014,Target Budget,Full Year,2013-09-30,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,1,2014,58
Off. of Behavioral Hith & Intellectual disAbility,13832747.0,2014,Target Budget,Full Year,2013-09-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,1,2014,15
Office of Housing and Comm. Development,3020000.0,2014,Target Budget,Full Year,2013-09-30,Office of Housing and Community Development,06,,1,2014,06
Office of Human Resources,5886218.0,2014,Target Budget,Full Year,2013-09-30,Office of Human Resources,56,OHR,1,2014,56
Office of Innovation and Technology,84994181.0,2014,Target Budget,Full Year,2013-09-30,Office of Innovation and Technology,04,OIT,1,2014,04
Office of the Inspector General,1462069.0,2014,Target Budget,Full Year,2013-09-30,Office of the Inspector General,48,OIG,1,2014,48
Office of Property Assessment,13326276.0,2014,Target Budget,Full Year,2013-09-30,Office of Property Assessment,59,OPA,1,2014,59
Office of Supportive Housing,43616630.0,2014,Target Budget,Full Year,2013-09-30,Office of Homeless Services,24,OHS,1,2014,24
Parks and Recreation,51313537.0,2014,Target Budget,Full Year,2013-09-30,Department of Parks and Recreation,16,Parks & Recreation,1,2014,16
Police,595593755.0,2014,Target Budget,Full Year,2013-09-30,Police Department,11,Police,1,2014,11
Prisons,238804784.0,2014,Target Budget,Full Year,2013-09-30,Philadelphia Prison System,23,Prisons,1,2014,23
Procurement,4643115.0,2014,Target Budget,Full Year,2013-09-30,Procurement Department,38,Procurement,1,2014,38
Public Health,114482597.0,2014,Target Budget,Full Year,2013-09-30,Department of Public Health,14,Public Health,1,2014,14
Public Property,57454961.0,2014,Target Budget,Full Year,2013-09-30,Department of Public Property,20,Public Property,1,2014,20
Public Property-SEPTA Subsidy,67062000.0,2014,Target Budget,Full Year,2013-09-30,Public Property: SEPTA Subsidy,20-SS,,1,2014,20
Public Property-Space Rentals,19074780.0,2014,Target Budget,Full Year,2013-09-30,Public Property: Space Rentals,20-SR,,1,2014,20
Public Property-Utilities,30313424.0,2014,Target Budget,Full Year,2013-09-30,Public Property: Utilities,20-U,,1,2014,20
Records,4026317.0,2014,Target Budget,Full Year,2013-09-30,Department of Records,31,Records,1,2014,31
Register of Wills,3403341.0,2014,Target Budget,Full Year,2013-09-30,Register of Wills,68,,1,2014,68
Revenue,20560621.0,2014,Target Budget,Full Year,2013-09-30,Department of Revenue,36,Revenue,1,2014,36
Sheriff,15478245.0,2014,Target Budget,Full Year,2013-09-30,Office of the Sheriff,70,Sheriff,1,2014,70
Sinking Fund Commission (Debt Service),226258358.0,2014,Target Budget,Full Year,2013-09-30,Sinking Fund Commission,37,Sinking Fund,1,2014,37
Streets-Sanitation,85303423.0,2014,Target Budget,Full Year,2013-09-30,Streets: Sanitation,12-S,,1,2014,12
Streets-Transportation,30257266.0,2014,Target Budget,Full Year,2013-09-30,Streets: Transportation,12-T,,1,2014,12
Youth Commission,140080.0,2014,Target Budget,Full Year,2013-09-30,Youth Commission,47,,1,2014,47
Art Museum Subsidy,2550000.0,2014,Current Projection,Full Year,2013-09-30,Art Museum,34,,1,2014,34
Atwater Kent Museum,270674.0,2014,Current Projection,Full Year,2013-09-30,Atwater Kent Museum,18,Atwater Kent,1,2014,18
Auditing (City Controller's Office),7696397.0,2014,Current Projection,Full Year,2013-09-30,City Controller's Office,61,,1,2014,61
Board of Ethics,1000000.0,2014,Current Projection,Full Year,2013-09-30,Board of Ethics,45,,1,2014,45
Board of Revision of Taxes,1050587.0,2014,Current Projection,Full Year,2013-09-30,Board of Revision of Taxes,63,BRT,1,2014,63
City Commissioners (Election Board),8889014.0,2014,Current Projection,Full Year,2013-09-30,City Commissioner's Office,73,City Commissioners,1,2014,73
City Council,15814559.0,2014,Current Projection,Full Year,2013-09-30,City Council,01,,1,2014,01
City Planning Commission,2272534.0,2014,Current Projection,Full Year,2013-09-30,City Planning Commission,51,,1,2014,51
City Representative,1005915.0,2014,Current Projection,Full Year,2013-09-30,Office of the City Representative,41,City Rep,1,2014,41
City Treasurer,899260.0,2014,Current Projection,Full Year,2013-09-30,Office of the City Treasurer,40,City Treasurer,1,2014,40
Civil Service Commission (1),37387323.0,2014,Current Projection,Full Year,2013-09-30,Civil Service Commission,55,,1,2014,55
Commerce,2710189.0,2014,Current Projection,Full Year,2013-09-30,Office of the Director of Commerce,42,Commerce,1,2014,42
Commerce-Convention Center Subsidy,15000000.0,2014,Current Projection,Full Year,2013-09-30,Commerce: Convention Center Subsidy,42-CC,,1,2014,42
Commerce-Economic Stimulus,1294448.0,2014,Current Projection,Full Year,2013-09-30,Commerce: Economic Stimulus,42-ES,,1,2014,42
District Attorney,32081616.0,2014,Current Projection,Full Year,2013-09-30,District Attorney's Office,69,DAO,1,2014,69
Finance,17349592.0,2014,Current Projection,Full Year,2013-09-30,Office of the Director of Finance,35,Finance,1,2014,35
Finance-Community College Subsidy,26409207.0,2014,Current Projection,Full Year,2013-09-30,Finance: Community College Subsidy,35-CC,,1,2014,35
Finance - Employee Benefits,1226624409.0,2014,Current Projection,Full Year,2013-09-30,Finance: Employee Benefits,35-EB,Employee Benefits,1,2014,35
Employee Benefits: Unemployment Compensation,5580260.0,2014,Current Projection,Full Year,2013-09-30,Employee Benefits: Unemployment Compensation,35-EB-UC,,1,2014,35
Employee Benefits: Employee Disability,63316041.0,2014,Current Projection,Full Year,2013-09-30,Employee Benefits: Employee Disability,35-EB-DIS,,1,2014,35
Employee Benefits: Pension Obligation Bonds,105350670.0,2014,Current Projection,Full Year,2013-09-30,Employee Benefits: Pension Obligation Bonds,35-EB-POB,,1,2014,35
Employee Benefits: Pension,562169000.0,2014,Current Projection,Full Year,2013-09-30,Employee Benefits: Pension,35-EB-PEN,,1,2014,35
Employee Benefits: FICA,65003402.0,2014,Current Projection,Full Year,2013-09-30,Employee Benefits: FICA,35-EB-FICA,,1,2014,35
Employee Benefits: Flex Cash Payments,1000000.0,2014,Current Projection,Full Year,2013-09-30,Employee Benefits: Flex Cash Payments,35-EB-FLEX,,1,2014,35
Employee Benefits: Health / Medical,411948784.0,2014,Current Projection,Full Year,2013-09-30,Employee Benefits: Health/Medical,35-EB-HM,,1,2014,35
Employee Benefits: Group Life Insurance,7750000.0,2014,Current Projection,Full Year,2013-09-30,Employee Benefits: Group Life Insurance,35-EB-GLI,,1,2014,35
Employee Benefits: Group Legal,4381252.0,2014,Current Projection,Full Year,2013-09-30,Employee Benefits: Group Legal,35-EB-GL,,1,2014,35
Employee Benefits: Tool Allowance,125000.0,2014,Current Projection,Full Year,2013-09-30,Employee Benefits: Tool Allowance,35-EB-TA,,1,2014,35
Finance-Hero Scholarship Awards,25000.0,2014,Current Projection,Full Year,2013-09-30,Finance: Hero Scholarship Awards,35-HA,,1,2014,35
Finance-Indemnities,32500000.0,2014,Current Projection,Full Year,2013-09-30,Finance: Indemnities,35-IN,,1,2014,35
Finance-Refunds,250000.0,2014,Current Projection,Full Year,2013-09-30,Finance: Refunds,35-R,,1,2014,35
Finance-School District Contribution,114050100.0,2014,Current Projection,Full Year,2013-09-30,Finance: School District Contribution,35-SD,,1,2014,35
Finance-Witness Fees,171518.0,2014,Current Projection,Full Year,2013-09-30,Finance: Witness Fees,35-WF,,1,2014,35
Fire,244669197.0,2014,Current Projection,Full Year,2013-09-30,Fire Department,13,Fire,1,2014,13
First Judicial District,104973196.0,2014,Current Projection,Full Year,2013-09-30,First Judicial District,84,FJD,1,2014,84
Fleet Management,47479779.0,2014,Current Projection,Full Year,2013-09-30,Office of Fleet Management,25,Fleet,1,2014,25
Fleet Management - Vehicle Purchases,8965000.0,2014,Current Projection,Full Year,2013-09-30,Fleet: Vehicle Lease/Purchases,25-V,,1,2014,25
Free Library,35258328.0,2014,Current Projection,Full Year,2013-09-30,The Free Library of Philadelphia,52,Free Library,1,2014,52
Historical Commission,396837.0,2014,Current Projection,Full Year,2013-09-30,Historical Commission,32,,1,2014,32
Human Relations Commission,2013747.0,2014,Current Projection,Full Year,2013-09-30,Commission on Human Relations,54,Human Relations,1,2014,54
Human Services,98338951.0,2014,Current Projection,Full Year,2013-09-30,Department of Human Services,22,DHS,1,2014,22
Labor Relations,553453.0,2014,Current Projection,Full Year,2013-09-30,Labor,03,,1,2014,03
Law,12822255.0,2014,Current Projection,Full Year,2013-09-30,Law Department,44,Law,1,2014,44
Licenses & Inspections,22588074.0,2014,Current Projection,Full Year,2013-09-30,Department of Licenses and Inspections,26,L&I,1,2014,26
L&I-Board of Building Standards,71198.0,2014,Current Projection,Full Year,2013-09-30,L&I: Board of Building and Standards,29,,1,2014,29
L&I-Board of L & I Review,162034.0,2014,Current Projection,Full Year,2013-09-30,L&I: Board of Review,27,,1,2014,27
L&I-Zoning Board of Adjustment,357397.0,2014,Current Projection,Full Year,2013-09-30,Zoning Board of Adjustments,30,ZBA,1,2014,30
Managing Director's Office,33871145.0,2014,Current Projection,Full Year,2013-09-30,Managing Director's Office,10,MDO,1,2014,10
Managing Director-Legal Services,40146067.0,2014,Current Projection,Full Year,2013-09-30,MDO: Legal Services,10-LS,,1,2014,10
Mayor's Office,5191881.0,2014,Current Projection,Full Year,2013-09-30,Mayor's Office,05,Mayor,1,2014,05
Mayor's Office-Scholarships,200000.0,2014,Current Projection,Full Year,2013-09-30,Mayor's Office: Scholarships,05-S,,1,2014,05
Mayor's Office of Transportation & Utilities,788817.0,2014,Current Projection,Full Year,2013-09-30,Mayor's Office of Transportation and Utilities,46,,1,2014,46
Mural Arts Program,1401425.0,2014,Current Projection,Full Year,2013-09-30,Mural Arts Program,50,Mural Arts,1,2014,50
Office of Arts and Culture,2671288.0,2014,Current Projection,Full Year,2013-09-30,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,1,2014,58
Off. of Behavioral Hith & Intellectual disAbility,13832747.0,2014,Current Projection,Full Year,2013-09-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,1,2014,15
Office of Housing and Comm. Development,3020000.0,2014,Current Projection,Full Year,2013-09-30,Office of Housing and Community Development,06,,1,2014,06
Office of Human Resources,5886218.0,2014,Current Projection,Full Year,2013-09-30,Office of Human Resources,56,OHR,1,2014,56
Office of Innovation and Technology,84994181.0,2014,Current Projection,Full Year,2013-09-30,Office of Innovation and Technology,04,OIT,1,2014,04
Office of the Inspector General,1462069.0,2014,Current Projection,Full Year,2013-09-30,Office of the Inspector General,48,OIG,1,2014,48
Office of Property Assessment,13326276.0,2014,Current Projection,Full Year,2013-09-30,Office of Property Assessment,59,OPA,1,2014,59
Office of Supportive Housing,43616630.0,2014,Current Projection,Full Year,2013-09-30,Office of Homeless Services,24,OHS,1,2014,24
Parks and Recreation,51313537.0,2014,Current Projection,Full Year,2013-09-30,Department of Parks and Recreation,16,Parks & Recreation,1,2014,16
Police,595593755.0,2014,Current Projection,Full Year,2013-09-30,Police Department,11,Police,1,2014,11
Prisons,238804784.0,2014,Current Projection,Full Year,2013-09-30,Philadelphia Prison System,23,Prisons,1,2014,23
Procurement,4643115.0,2014,Current Projection,Full Year,2013-09-30,Procurement Department,38,Procurement,1,2014,38
Public Health,114482597.0,2014,Current Projection,Full Year,2013-09-30,Department of Public Health,14,Public Health,1,2014,14
Public Property,57454961.0,2014,Current Projection,Full Year,2013-09-30,Department of Public Property,20,Public Property,1,2014,20
Public Property-SEPTA Subsidy,67062000.0,2014,Current Projection,Full Year,2013-09-30,Public Property: SEPTA Subsidy,20-SS,,1,2014,20
Public Property-Space Rentals,19074780.0,2014,Current Projection,Full Year,2013-09-30,Public Property: Space Rentals,20-SR,,1,2014,20
Public Property-Utilities,30313424.0,2014,Current Projection,Full Year,2013-09-30,Public Property: Utilities,20-U,,1,2014,20
Records,4026317.0,2014,Current Projection,Full Year,2013-09-30,Department of Records,31,Records,1,2014,31
Register of Wills,3403341.0,2014,Current Projection,Full Year,2013-09-30,Register of Wills,68,,1,2014,68
Revenue,20560621.0,2014,Current Projection,Full Year,2013-09-30,Department of Revenue,36,Revenue,1,2014,36
Sheriff,15478245.0,2014,Current Projection,Full Year,2013-09-30,Office of the Sheriff,70,Sheriff,1,2014,70
Sinking Fund Commission (Debt Service),226258358.0,2014,Current Projection,Full Year,2013-09-30,Sinking Fund Commission,37,Sinking Fund,1,2014,37
Streets-Sanitation,85303423.0,2014,Current Projection,Full Year,2013-09-30,Streets: Sanitation,12-S,,1,2014,12
Streets-Transportation,30257266.0,2014,Current Projection,Full Year,2013-09-30,Streets: Transportation,12-T,,1,2014,12
Youth Commission,140080.0,2014,Current Projection,Full Year,2013-09-30,Youth Commission,47,,1,2014,47
Art Museum Subsidy,2300000.0,2012,Actual,Full Year,2012-06-30,Art Museum,34,,4,2013,34
Atwater Kent Museum,265694.0,2012,Actual,Full Year,2012-06-30,Atwater Kent Museum,18,Atwater Kent,4,2013,18
Auditing (City Controller's Office),7288507.0,2012,Actual,Full Year,2012-06-30,City Controller's Office,61,,4,2013,61
Board of Building Standards,57935.0,2012,Actual,Full Year,2012-06-30,L&I: Board of Building and Standards,29,,4,2013,29
Board of Ethics,682572.0,2012,Actual,Full Year,2012-06-30,Board of Ethics,45,,4,2013,45
Board of L & I Revlew,124443.0,2012,Actual,Full Year,2012-06-30,L&I: Board of Review,27,,4,2013,27
Board of Revision of Taxes,539709.0,2012,Actual,Full Year,2012-06-30,Board of Revision of Taxes,63,BRT,4,2013,63
City Commissioners (Election Board),8535361.0,2012,Actual,Full Year,2012-06-30,City Commissioner's Office,73,City Commissioners,4,2013,73
City Council,13758182.0,2012,Actual,Full Year,2012-06-30,City Council,01,,4,2013,01
City Planning Commission,2209210.0,2012,Actual,Full Year,2012-06-30,City Planning Commission,51,,4,2013,51
City Representative,878647.0,2012,Actual,Full Year,2012-06-30,Office of the City Representative,41,City Rep,4,2013,41
City Treasurer,825035.0,2012,Actual,Full Year,2012-06-30,Office of the City Treasurer,40,City Treasurer,4,2013,40
Civil Service Commission,166720.0,2012,Actual,Full Year,2012-06-30,Civil Service Commission,55,,4,2013,55
Commerce,2067253.0,2012,Actual,Full Year,2012-06-30,Office of the Director of Commerce,42,Commerce,4,2013,42
Commerce-Economic Stimulus,1294448.0,2012,Actual,Full Year,2012-06-30,Commerce: Economic Stimulus,42-ES,,4,2013,42
Community College Subsldy,25409207.0,2012,Actual,Full Year,2012-06-30,Finance: Community College Subsidy,35-CC,,4,2013,35
Convention Center Subsidy,15000000.0,2012,Actual,Full Year,2012-06-30,Commerce: Convention Center Subsidy,42-CC,,4,2013,42
District Attorney,30632240.0,2012,Actual,Full Year,2012-06-30,District Attorney's Office,69,DAO,4,2013,69
Finance,15395169.0,2012,Actual,Full Year,2012-06-30,Office of the Director of Finance,35,Finance,4,2013,35
Finance - Contribution to the School District,48930000.0,2012,Actual,Full Year,2012-06-30,Finance: School District Contribution,35-SD,,4,2013,35
Finance - Employee Benefits,1066249915.0,2012,Actual,Full Year,2012-06-30,Finance: Employee Benefits,35-EB,Employee Benefits,4,2013,35
Employee Benefits: Employee Disability,54291538.0,2012,Actual,Full Year,2012-06-30,Employee Benefits: Employee Disability,35-EB-DIS,,4,2013,35
Employee Benefits: FICA,67180975.0,2012,Actual,Full Year,2012-06-30,Employee Benefits: FICA,35-EB-FICA,,4,2013,35
Employee Benefits: Flex Cash Payments,666203.0,2012,Actual,Full Year,2012-06-30,Employee Benefits: Flex Cash Payments,35-EB-FLEX,,4,2013,35
Employee Benefits: Group Legal,3871727.0,2012,Actual,Full Year,2012-06-30,Employee Benefits: Group Legal,35-EB-GL,,4,2013,35
Employee Benefits: Group Life Insurance,7758985.0,2012,Actual,Full Year,2012-06-30,Employee Benefits: Group Life Insurance,35-EB-GLI,,4,2013,35
Employee Benefits: Health / Medical,379419925.0,2012,Actual,Full Year,2012-06-30,Employee Benefits: Health/Medical,35-EB-HM,,4,2013,35
Employee Benefits: Pension,447700184.0,2012,Actual,Full Year,2012-06-30,Employee Benefits: Pension,35-EB-PEN,,4,2013,35
Employee Benefits: Pension Obligation Bonds,100103959.0,2012,Actual,Full Year,2012-06-30,Employee Benefits: Pension Obligation Bonds,35-EB-POB,,4,2013,35
