dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation,report_quarter,report_fiscal_year,dept_major_code
"Labor Relations, Mayor's Office of",Total,7,0,2014,Actual,YTD,2014-03-31,7,Labor,03,,3,2014,03
Law,Total,200,0,2014,Actual,YTD,2014-03-31,200,Law Department,44,Law,3,2014,44
Licenses & Inspections,Total,307,0,2014,Actual,YTD,2014-03-31,307,Department of Licenses and Inspections,26,L&I,3,2014,26
L&I-Board of Building Standards,Total,1,0,2014,Actual,YTD,2014-03-31,1,L&I: Board of Building and Standards,29,,3,2014,29
L&I-Board of L & I Review,Total,2,0,2014,Actual,YTD,2014-03-31,2,L&I: Board of Review,27,,3,2014,27
L&I-Zoning Board of Adjustment,Total,5,0,2014,Actual,YTD,2014-03-31,5,Zoning Board of Adjustments,30,ZBA,3,2014,30
Managing Director's Office,Total,296,0,2014,Actual,YTD,2014-03-31,296,Managing Director's Office,10,MDO,3,2014,10
Mayor's Office,Total,47,0,2014,Actual,YTD,2014-03-31,47,Mayor's Office,05,Mayor,3,2014,05
Mayor's Off. of Comm Empowerment/Oppor.,Total,38,0,2014,Actual,YTD,2014-03-31,38,Mayor's Office of Community Empowerment and Opportunity,08,CEO,3,2014,08
Mayor's Office of Transportation & Utilities,Total,15,0,2014,Actual,YTD,2014-03-31,15,Mayor's Office of Transportation and Utilities,46,,3,2014,46
Mural Arts Program,Total,11,0,2014,Actual,YTD,2014-03-31,11,Mural Arts Program,50,Mural Arts,3,2014,50
Office of Arts and Culture,Total,1,0,2014,Actual,YTD,2014-03-31,1,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,3,2014,58
Office of Behavioral Hlth/Intel. disAbility,Total,238,0,2014,Actual,YTD,2014-03-31,238,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,3,2014,15
Office of Housing & Comm. Development,Total,57,0,2014,Actual,YTD,2014-03-31,57,Office of Housing and Community Development,06,,3,2014,06
Office of Human Resources,Total,80,0,2014,Actual,YTD,2014-03-31,80,Office of Human Resources,56,OHR,3,2014,56
Office of Innovation and Technology,Total,326,0,2014,Actual,YTD,2014-03-31,326,Office of Innovation and Technology,04,OIT,3,2014,04
Office of the Inspector General,Total,17,0,2014,Actual,YTD,2014-03-31,17,Office of the Inspector General,48,OIG,3,2014,48
Office of Property Assessment,Total,173,0,2014,Actual,YTD,2014-03-31,173,Office of Property Assessment,59,OPA,3,2014,59
Office of Supportive Housing,Total,160,0,2014,Actual,YTD,2014-03-31,160,Office of Homeless Services,24,OHS,3,2014,24
Parks and Recreation,Total,618,0,2014,Actual,YTD,2014-03-31,618,Department of Parks and Recreation,16,Parks & Recreation,3,2014,16
Prisons,Total,2293,0,2014,Actual,YTD,2014-03-31,2293,Philadelphia Prison System,23,Prisons,3,2014,23
Procurement,Total,47,0,2014,Actual,YTD,2014-03-31,47,Procurement Department,38,Procurement,3,2014,38
Public Health,Total,844,0,2014,Actual,YTD,2014-03-31,844,Department of Public Health,14,Public Health,3,2014,14
Public Property,Total,124,0,2014,Actual,YTD,2014-03-31,124,Department of Public Property,20,Public Property,3,2014,20
Records,Total,60,0,2014,Actual,YTD,2014-03-31,60,Department of Records,31,Records,3,2014,31
Register of Wills,Total,62,0,2014,Actual,YTD,2014-03-31,62,Register of Wills,68,,3,2014,68
Revenue,Total,505,0,2014,Actual,YTD,2014-03-31,505,Department of Revenue,36,Revenue,3,2014,36
Sheriff,Total,258,0,2014,Actual,YTD,2014-03-31,258,Office of the Sheriff,70,Sheriff,3,2014,70
Streets Sanitation,Total,1169,0,2014,Actual,YTD,2014-03-31,1169,Streets: Sanitation,12-S,,3,2014,12
Streets - Transportation,Total,521,0,2014,Actual,YTD,2014-03-31,521,Streets: Transportation,12-T,,3,2014,12
Water,Total,1721,0,2014,Actual,YTD,2014-03-31,1721,Water Department,28,Water,3,2014,28
Youth Commission,Total,2,0,2014,Actual,YTD,2014-03-31,2,Youth Commission,47,,3,2014,47
Police,General,791,6292,2014,Actual,YTD,2014-03-31,7083,Police Department,11,Police,3,2014,11
Police,Other,11,153,2014,Actual,YTD,2014-03-31,164,Police Department,11,Police,3,2014,11
Police,Total,802,6445,2014,Actual,YTD,2014-03-31,7247,Police Department,11,Police,3,2014,11
Fire,General,101,1986,2014,Actual,YTD,2014-03-31,2087,Fire Department,13,Fire,3,2014,13
Fire,Other,3,193,2014,Actual,YTD,2014-03-31,196,Fire Department,13,Fire,3,2014,13
Fire,Total,104,2179,2014,Actual,YTD,2014-03-31,2283,Fire Department,13,Fire,3,2014,13
District Attorney,General,431,14,2014,Actual,YTD,2014-03-31,445,District Attorney's Office,69,DAO,3,2014,69
District Attorney,Other,86,10,2014,Actual,YTD,2014-03-31,96,District Attorney's Office,69,DAO,3,2014,69
District Attorney,Total,517,24,2014,Actual,YTD,2014-03-31,541,District Attorney's Office,69,DAO,3,2014,69
Atwater Kent Museum,General,4,0,2014,Actual,YTD,2013-12-31,4,Atwater Kent Museum,18,Atwater Kent,2,2014,18
Auditing (City Controller's Office),General,111,0,2014,Actual,YTD,2013-12-31,111,City Controller's Office,61,,2,2014,61
Board of Ethics,General,9,0,2014,Actual,YTD,2013-12-31,9,Board of Ethics,45,,2,2014,45
Board of Pensions,General,0,0,2014,Actual,YTD,2013-12-31,0,Board of Pensions,53,Pensions,2,2014,53
Board of Revision of Taxes,General,9,0,2014,Actual,YTD,2013-12-31,9,Board of Revision of Taxes,63,BRT,2,2014,63
City Commissioners (Election Board),General,85,0,2014,Actual,YTD,2013-12-31,85,City Commissioner's Office,73,City Commissioners,2,2014,73
City Council,General,174,0,2014,Actual,YTD,2013-12-31,174,City Council,01,,2,2014,01
City Planning Commission,General,28,0,2014,Actual,YTD,2013-12-31,28,City Planning Commission,51,,2,2014,51
City Representative,General,7,0,2014,Actual,YTD,2013-12-31,7,Office of the City Representative,41,City Rep,2,2014,41
City Treasurer,General,13,0,2014,Actual,YTD,2013-12-31,13,Office of the City Treasurer,40,City Treasurer,2,2014,40
Civil Service Commission,General,2,0,2014,Actual,YTD,2013-12-31,2,Civil Service Commission,55,,2,2014,55
Commerce,General,27,0,2014,Actual,YTD,2013-12-31,27,Office of the Director of Commerce,42,Commerce,2,2014,42
Finance,General,169,0,2014,Actual,YTD,2013-12-31,169,Office of the Director of Finance,35,Finance,2,2014,35
First Judicial District,General,1871,0,2014,Actual,YTD,2013-12-31,1871,First Judicial District,84,FJD,2,2014,84
Fleet Management,General,267,0,2014,Actual,YTD,2013-12-31,267,Office of Fleet Management,25,Fleet,2,2014,25
Free Library,General,597,0,2014,Actual,YTD,2013-12-31,597,The Free Library of Philadelphia,52,Free Library,2,2014,52
Historical Commission,General,6,0,2014,Actual,YTD,2013-12-31,6,Historical Commission,32,,2,2014,32
Human Relations Commission,General,30,0,2014,Actual,YTD,2013-12-31,30,Commission on Human Relations,54,Human Relations,2,2014,54
Human Services (1),General,349,0,2014,Actual,YTD,2013-12-31,349,Department of Human Services,22,DHS,2,2014,22
"Labor Relations, Mayor's Office of",General,7,0,2014,Actual,YTD,2013-12-31,7,Labor,03,,2,2014,03
Law,General,147,0,2014,Actual,YTD,2013-12-31,147,Law Department,44,Law,2,2014,44
Licenses & Inspections,General,305,0,2014,Actual,YTD,2013-12-31,305,Department of Licenses and Inspections,26,L&I,2,2014,26
L&I-Board of Building Standards,General,1,0,2014,Actual,YTD,2013-12-31,1,L&I: Board of Building and Standards,29,,2,2014,29
L&I-Board of L & I Review,General,2,0,2014,Actual,YTD,2013-12-31,2,L&I: Board of Review,27,,2,2014,27
L&I-Zoning Board of Adjustment,General,5,0,2014,Actual,YTD,2013-12-31,5,Zoning Board of Adjustments,30,ZBA,2,2014,30
Managing Director's Office,General,272,0,2014,Actual,YTD,2013-12-31,272,Managing Director's Office,10,MDO,2,2014,10
Mayor's Office,General,44,0,2014,Actual,YTD,2013-12-31,44,Mayor's Office,05,Mayor,2,2014,05
Mayor's Off. of Comm Empowerment/Oppor.,General,0,0,2014,Actual,YTD,2013-12-31,0,Mayor's Office of Community Empowerment and Opportunity,08,CEO,2,2014,08
Mayor's Office of Transportation & Utilities,General,13,0,2014,Actual,YTD,2013-12-31,13,Mayor's Office of Transportation and Utilities,46,,2,2014,46
Mural Arts Program,General,11,0,2014,Actual,YTD,2013-12-31,11,Mural Arts Program,50,Mural Arts,2,2014,50
Office of Arts and Culture,General,1,0,2014,Actual,YTD,2013-12-31,1,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,2,2014,58
Office of Behavioral Hith/Intel. disAbility,General,16,0,2014,Actual,YTD,2013-12-31,16,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,2,2014,15
Office of Housing & Comm. Development,General,0,0,2014,Actual,YTD,2013-12-31,0,Office of Housing and Community Development,06,,2,2014,06
Office of Human Resources,General,80,0,2014,Actual,YTD,2013-12-31,80,Office of Human Resources,56,OHR,2,2014,56
Office of Innovation and Technology,General,256,0,2014,Actual,YTD,2013-12-31,256,Office of Innovation and Technology,04,OIT,2,2014,04
Office of the Inspector General,General,17,0,2014,Actual,YTD,2013-12-31,17,Office of the Inspector General,48,OIG,2,2014,48
Office of Property Assessment,General,173,0,2014,Actual,YTD,2013-12-31,173,Office of Property Assessment,59,OPA,2,2014,59
Office of Supportive Housing,General,152,0,2014,Actual,YTD,2013-12-31,152,Office of Homeless Services,24,OHS,2,2014,24
Parks and Recreation,General,602,0,2014,Actual,YTD,2013-12-31,602,Department of Parks and Recreation,16,Parks & Recreation,2,2014,16
Prisons,General,2293,0,2014,Actual,YTD,2013-12-31,2293,Philadelphia Prison System,23,Prisons,2,2014,23
Procurement,General,46,0,2014,Actual,YTD,2013-12-31,46,Procurement Department,38,Procurement,2,2014,38
Public Health,General,674,0,2014,Actual,YTD,2013-12-31,674,Department of Public Health,14,Public Health,2,2014,14
Public Property,General,124,0,2014,Actual,YTD,2013-12-31,124,Department of Public Property,20,Public Property,2,2014,20
Records,General,60,0,2014,Actual,YTD,2013-12-31,60,Department of Records,31,Records,2,2014,31
Register of Wills,General,62,0,2014,Actual,YTD,2013-12-31,62,Register of Wills,68,,2,2014,68
Revenue,General,268,0,2014,Actual,YTD,2013-12-31,268,Department of Revenue,36,Revenue,2,2014,36
Sheriff,General,258,0,2014,Actual,YTD,2013-12-31,258,Office of the Sheriff,70,Sheriff,2,2014,70
Streets - Sanitation,General,1169,0,2014,Actual,YTD,2013-12-31,1169,Streets: Sanitation,12-S,,2,2014,12
Streets - Transportation,General,521,0,2014,Actual,YTD,2013-12-31,521,Streets: Transportation,12-T,,2,2014,12
Water,General,0,0,2014,Actual,YTD,2013-12-31,0,Water Department,28,Water,2,2014,28
Youth Commission,General,2,0,2014,Actual,YTD,2013-12-31,2,Youth Commission,47,,2,2014,47
Atwater Kent Museum,Other,0,0,2014,Actual,YTD,2013-12-31,0,Atwater Kent Museum,18,Atwater Kent,2,2014,18
Auditing (City Controller's Office),Other,0,0,2014,Actual,YTD,2013-12-31,0,City Controller's Office,61,,2,2014,61
Board of Ethics,Other,0,0,2014,Actual,YTD,2013-12-31,0,Board of Ethics,45,,2,2014,45
Board of Pensions,Other,54,0,2014,Actual,YTD,2013-12-31,54,Board of Pensions,53,Pensions,2,2014,53
Board of Revision of Taxes,Other,0,0,2014,Actual,YTD,2013-12-31,0,Board of Revision of Taxes,63,BRT,2,2014,63
City Commissioners (Election Board),Other,0,0,2014,Actual,YTD,2013-12-31,0,City Commissioner's Office,73,City Commissioners,2,2014,73
City Council,Other,0,0,2014,Actual,YTD,2013-12-31,0,City Council,01,,2,2014,01
City Planning Commission,Other,3,0,2014,Actual,YTD,2013-12-31,3,City Planning Commission,51,,2,2014,51
City Representative,Other,0,0,2014,Actual,YTD,2013-12-31,0,Office of the City Representative,41,City Rep,2,2014,41
City Treasurer,Other,0,0,2014,Actual,YTD,2013-12-31,0,Office of the City Treasurer,40,City Treasurer,2,2014,40
Civil Service Commission,Other,0,0,2014,Actual,YTD,2013-12-31,0,Civil Service Commission,55,,2,2014,55
Commerce,Other,779,0,2014,Actual,YTD,2013-12-31,779,Office of the Director of Commerce,42,Commerce,2,2014,42
Finance,Other,0,0,2014,Actual,YTD,2013-12-31,0,Office of the Director of Finance,35,Finance,2,2014,35
First Judicial District,Other,462,0,2014,Actual,YTD,2013-12-31,462,First Judicial District,84,FJD,2,2014,84
Fleet Management,Other,69,0,2014,Actual,YTD,2013-12-31,69,Office of Fleet Management,25,Fleet,2,2014,25
Free Library,Other,23,0,2014,Actual,YTD,2013-12-31,23,The Free Library of Philadelphia,52,Free Library,2,2014,52
Historical Commission,Other,0,0,2014,Actual,YTD,2013-12-31,0,Historical Commission,32,,2,2014,32
Human Relations Commission,Other,0,0,2014,Actual,YTD,2013-12-31,0,Commission on Human Relations,54,Human Relations,2,2014,54
Human Services (1),Other,1247,0,2014,Actual,YTD,2013-12-31,1247,Department of Human Services,22,DHS,2,2014,22
"Labor Relations, Mayor's Office of",Other,0,0,2014,Actual,YTD,2013-12-31,0,Labor,03,,2,2014,03
Law,Other,51,0,2014,Actual,YTD,2013-12-31,51,Law Department,44,Law,2,2014,44
Licenses & Inspections,Other,7,0,2014,Actual,YTD,2013-12-31,7,Department of Licenses and Inspections,26,L&I,2,2014,26
L&I-Board of Building Standards,Other,0,0,2014,Actual,YTD,2013-12-31,0,L&I: Board of Building and Standards,29,,2,2014,29
L&I-Board of L & I Review,Other,0,0,2014,Actual,YTD,2013-12-31,0,L&I: Board of Review,27,,2,2014,27
L&I-Zoning Board of Adjustment,Other,0,0,2014,Actual,YTD,2013-12-31,0,Zoning Board of Adjustments,30,ZBA,2,2014,30
Managing Director's Office,Other,24,0,2014,Actual,YTD,2013-12-31,24,Managing Director's Office,10,MDO,2,2014,10
Mayor's Office,Other,3,0,2014,Actual,YTD,2013-12-31,3,Mayor's Office,05,Mayor,2,2014,05
Mayor's Off. of Comm Empowerment/Oppor.,Other,45,0,2014,Actual,YTD,2013-12-31,45,Mayor's Office of Community Empowerment and Opportunity,08,CEO,2,2014,08
Mayor's Office of Transportation & Utilities,Other,3,0,2014,Actual,YTD,2013-12-31,3,Mayor's Office of Transportation and Utilities,46,,2,2014,46
Mural Arts Program,Other,0,0,2014,Actual,YTD,2013-12-31,0,Mural Arts Program,50,Mural Arts,2,2014,50
Office of Arts and Culture,Other,0,0,2014,Actual,YTD,2013-12-31,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,2,2014,58
Office of Behavioral Hith/Intel. disAbility,Other,227,0,2014,Actual,YTD,2013-12-31,227,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,2,2014,15
Office of Housing & Comm. Development,Other,56,0,2014,Actual,YTD,2013-12-31,56,Office of Housing and Community Development,06,,2,2014,06
Office of Human Resources,Other,0,0,2014,Actual,YTD,2013-12-31,0,Office of Human Resources,56,OHR,2,2014,56
Office of Innovation and Technology,Other,72,0,2014,Actual,YTD,2013-12-31,72,Office of Innovation and Technology,04,OIT,2,2014,04
Office of the Inspector General,Other,0,0,2014,Actual,YTD,2013-12-31,0,Office of the Inspector General,48,OIG,2,2014,48
Office of Property Assessment,Other,0,0,2014,Actual,YTD,2013-12-31,0,Office of Property Assessment,59,OPA,2,2014,59
Office of Supportive Housing,Other,7,0,2014,Actual,YTD,2013-12-31,7,Office of Homeless Services,24,OHS,2,2014,24
Parks and Recreation,Other,22,0,2014,Actual,YTD,2013-12-31,22,Department of Parks and Recreation,16,Parks & Recreation,2,2014,16
Prisons,Other,0,0,2014,Actual,YTD,2013-12-31,0,Philadelphia Prison System,23,Prisons,2,2014,23
Procurement,Other,0,0,2014,Actual,YTD,2013-12-31,0,Procurement Department,38,Procurement,2,2014,38
Public Health,Other,168,0,2014,Actual,YTD,2013-12-31,168,Department of Public Health,14,Public Health,2,2014,14
Public Property,Other,0,0,2014,Actual,YTD,2013-12-31,0,Department of Public Property,20,Public Property,2,2014,20
Records,Other,0,0,2014,Actual,YTD,2013-12-31,0,Department of Records,31,Records,2,2014,31
Register of Wills,Other,0,0,2014,Actual,YTD,2013-12-31,0,Register of Wills,68,,2,2014,68
Revenue,Other,232,0,2014,Actual,YTD,2013-12-31,232,Department of Revenue,36,Revenue,2,2014,36
Sheriff,Other,0,0,2014,Actual,YTD,2013-12-31,0,Office of the Sheriff,70,Sheriff,2,2014,70
Streets - Sanitation,Other,0,0,2014,Actual,YTD,2013-12-31,0,Streets: Sanitation,12-S,,2,2014,12
Streets - Transportation,Other,0,0,2014,Actual,YTD,2013-12-31,0,Streets: Transportation,12-T,,2,2014,12
Water,Other,1702,0,2014,Actual,YTD,2013-12-31,1702,Water Department,28,Water,2,2014,28
Youth Commission,Other,0,0,2014,Actual,YTD,2013-12-31,0,Youth Commission,47,,2,2014,47
Atwater Kent Museum,Total,4,0,2014,Actual,YTD,2013-12-31,4,Atwater Kent Museum,18,Atwater Kent,2,2014,18
Auditing (City Controller's Office),Total,111,0,2014,Actual,YTD,2013-12-31,111,City Controller's Office,61,,2,2014,61
Board of Ethics,Total,9,0,2014,Actual,YTD,2013-12-31,9,Board of Ethics,45,,2,2014,45
Board of Pensions,Total,54,0,2014,Actual,YTD,2013-12-31,54,Board of Pensions,53,Pensions,2,2014,53
Board of Revision of Taxes,Total,9,0,2014,Actual,YTD,2013-12-31,9,Board of Revision of Taxes,63,BRT,2,2014,63
City Commissioners (Election Board),Total,85,0,2014,Actual,YTD,2013-12-31,85,City Commissioner's Office,73,City Commissioners,2,2014,73
City Council,Total,174,0,2014,Actual,YTD,2013-12-31,174,City Council,01,,2,2014,01
City Planning Commission,Total,31,0,2014,Actual,YTD,2013-12-31,31,City Planning Commission,51,,2,2014,51
City Representative,Total,7,0,2014,Actual,YTD,2013-12-31,7,Office of the City Representative,41,City Rep,2,2014,41
City Treasurer,Total,13,0,2014,Actual,YTD,2013-12-31,13,Office of the City Treasurer,40,City Treasurer,2,2014,40
Civil Service Commission,Total,2,0,2014,Actual,YTD,2013-12-31,2,Civil Service Commission,55,,2,2014,55
Commerce,Total,806,0,2014,Actual,YTD,2013-12-31,806,Office of the Director of Commerce,42,Commerce,2,2014,42
Finance,Total,169,0,2014,Actual,YTD,2013-12-31,169,Office of the Director of Finance,35,Finance,2,2014,35
First Judicial District,Total,2333,0,2014,Actual,YTD,2013-12-31,2333,First Judicial District,84,FJD,2,2014,84
Fleet Management,Total,336,0,2014,Actual,YTD,2013-12-31,336,Office of Fleet Management,25,Fleet,2,2014,25
Free Library,Total,620,0,2014,Actual,YTD,2013-12-31,620,The Free Library of Philadelphia,52,Free Library,2,2014,52
Historical Commission,Total,6,0,2014,Actual,YTD,2013-12-31,6,Historical Commission,32,,2,2014,32
Human Relations Commission,Total,30,0,2014,Actual,YTD,2013-12-31,30,Commission on Human Relations,54,Human Relations,2,2014,54
Human Services (1),Total,1596,0,2014,Actual,YTD,2013-12-31,1596,Department of Human Services,22,DHS,2,2014,22
"Labor Relations, Mayor's Office of",Total,7,0,2014,Actual,YTD,2013-12-31,7,Labor,03,,2,2014,03
Law,Total,198,0,2014,Actual,YTD,2013-12-31,198,Law Department,44,Law,2,2014,44
Licenses & Inspections,Total,312,0,2014,Actual,YTD,2013-12-31,312,Department of Licenses and Inspections,26,L&I,2,2014,26
L&I-Board of Building Standards,Total,1,0,2014,Actual,YTD,2013-12-31,1,L&I: Board of Building and Standards,29,,2,2014,29
L&I-Board of L & I Review,Total,2,0,2014,Actual,YTD,2013-12-31,2,L&I: Board of Review,27,,2,2014,27
L&I-Zoning Board of Adjustment,Total,5,0,2014,Actual,YTD,2013-12-31,5,Zoning Board of Adjustments,30,ZBA,2,2014,30
Managing Director's Office,Total,296,0,2014,Actual,YTD,2013-12-31,296,Managing Director's Office,10,MDO,2,2014,10
Mayor's Office,Total,47,0,2014,Actual,YTD,2013-12-31,47,Mayor's Office,05,Mayor,2,2014,05
Mayor's Off. of Comm Empowerment/Oppor.,Total,45,0,2014,Actual,YTD,2013-12-31,45,Mayor's Office of Community Empowerment and Opportunity,08,CEO,2,2014,08
Mayor's Office of Transportation & Utilities,Total,16,0,2014,Actual,YTD,2013-12-31,16,Mayor's Office of Transportation and Utilities,46,,2,2014,46
Mural Arts Program,Total,11,0,2014,Actual,YTD,2013-12-31,11,Mural Arts Program,50,Mural Arts,2,2014,50
Office of Arts and Culture,Total,1,0,2014,Actual,YTD,2013-12-31,1,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,2,2014,58
Office of Behavioral Hith/Intel. disAbility,Total,243,0,2014,Actual,YTD,2013-12-31,243,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,2,2014,15
Office of Housing & Comm. Development,Total,56,0,2014,Actual,YTD,2013-12-31,56,Office of Housing and Community Development,06,,2,2014,06
Office of Human Resources,Total,80,0,2014,Actual,YTD,2013-12-31,80,Office of Human Resources,56,OHR,2,2014,56
Office of Innovation and Technology,Total,328,0,2014,Actual,YTD,2013-12-31,328,Office of Innovation and Technology,04,OIT,2,2014,04
Office of the Inspector General,Total,17,0,2014,Actual,YTD,2013-12-31,17,Office of the Inspector General,48,OIG,2,2014,48
Office of Property Assessment,Total,173,0,2014,Actual,YTD,2013-12-31,173,Office of Property Assessment,59,OPA,2,2014,59
Office of Supportive Housing,Total,159,0,2014,Actual,YTD,2013-12-31,159,Office of Homeless Services,24,OHS,2,2014,24
Parks and Recreation,Total,624,0,2014,Actual,YTD,2013-12-31,624,Department of Parks and Recreation,16,Parks & Recreation,2,2014,16
Prisons,Total,2293,0,2014,Actual,YTD,2013-12-31,2293,Philadelphia Prison System,23,Prisons,2,2014,23
Procurement,Total,46,0,2014,Actual,YTD,2013-12-31,46,Procurement Department,38,Procurement,2,2014,38
Public Health,Total,842,0,2014,Actual,YTD,2013-12-31,842,Department of Public Health,14,Public Health,2,2014,14
Public Property,Total,124,0,2014,Actual,YTD,2013-12-31,124,Department of Public Property,20,Public Property,2,2014,20
Records,Total,60,0,2014,Actual,YTD,2013-12-31,60,Department of Records,31,Records,2,2014,31
Register of Wills,Total,62,0,2014,Actual,YTD,2013-12-31,62,Register of Wills,68,,2,2014,68
Revenue,Total,500,0,2014,Actual,YTD,2013-12-31,500,Department of Revenue,36,Revenue,2,2014,36
Sheriff,Total,258,0,2014,Actual,YTD,2013-12-31,258,Office of the Sheriff,70,Sheriff,2,2014,70
Streets - Sanitation,Total,1169,0,2014,Actual,YTD,2013-12-31,1169,Streets: Sanitation,12-S,,2,2014,12
Streets - Transportation,Total,521,0,2014,Actual,YTD,2013-12-31,521,Streets: Transportation,12-T,,2,2014,12
Water,Total,1702,0,2014,Actual,YTD,2013-12-31,1702,Water Department,28,Water,2,2014,28
Youth Commission,Total,2,0,2014,Actual,YTD,2013-12-31,2,Youth Commission,47,,2,2014,47
Police,General,791,6292,2014,Actual,YTD,2013-12-31,7083,Police Department,11,Police,2,2014,11
Police,Other,11,154,2014,Actual,YTD,2013-12-31,165,Police Department,11,Police,2,2014,11
Police,Total,802,6446,2014,Actual,YTD,2013-12-31,7248,Police Department,11,Police,2,2014,11
Fire,General,101,1986,2014,Actual,YTD,2013-12-31,2087,Fire Department,13,Fire,2,2014,13
Fire,Other,3,189,2014,Actual,YTD,2013-12-31,192,Fire Department,13,Fire,2,2014,13
Fire,Total,104,2175,2014,Actual,YTD,2013-12-31,2279,Fire Department,13,Fire,2,2014,13
District Attorney,General,431,14,2014,Actual,YTD,2013-12-31,445,District Attorney's Office,69,DAO,2,2014,69
District Attorney,Other,85,10,2014,Actual,YTD,2013-12-31,95,District Attorney's Office,69,DAO,2,2014,69
District Attorney,Total,516,24,2014,Actual,YTD,2013-12-31,540,District Attorney's Office,69,DAO,2,2014,69
Atwater Kent Museum,General,4,0,2014,Actual,YTD,2013-09-30,4,Atwater Kent Museum,18,Atwater Kent,1,2014,18
Auditing (City Controller's Office),General,116,0,2014,Actual,YTD,2013-09-30,116,City Controller's Office,61,,1,2014,61
Board of Ethics,General,9,0,2014,Actual,YTD,2013-09-30,9,Board of Ethics,45,,1,2014,45
Board of Pensions,General,0,0,2014,Actual,YTD,2013-09-30,0,Board of Pensions,53,Pensions,1,2014,53
Board of Revision of Taxes,General,8,0,2014,Actual,YTD,2013-09-30,8,Board of Revision of Taxes,63,BRT,1,2014,63
City Commissioners (Election Board),General,84,0,2014,Actual,YTD,2013-09-30,84,City Commissioner's Office,73,City Commissioners,1,2014,73
City Council,General,175,0,2014,Actual,YTD,2013-09-30,175,City Council,01,,1,2014,01
City Planning Commission,General,31,0,2014,Actual,YTD,2013-09-30,31,City Planning Commission,51,,1,2014,51
City Representative,General,7,0,2014,Actual,YTD,2013-09-30,7,Office of the City Representative,41,City Rep,1,2014,41
City Treasurer,General,14,0,2014,Actual,YTD,2013-09-30,14,Office of the City Treasurer,40,City Treasurer,1,2014,40
Civil Service Commission,General,2,0,2014,Actual,YTD,2013-09-30,2,Civil Service Commission,55,,1,2014,55
Commerce,General,20,0,2014,Actual,YTD,2013-09-30,20,Office of the Director of Commerce,42,Commerce,1,2014,42
Finance,General,167,0,2014,Actual,YTD,2013-09-30,167,Office of the Director of Finance,35,Finance,1,2014,35
First Judicial District,General,1887,0,2014,Actual,YTD,2013-09-30,1887,First Judicial District,84,FJD,1,2014,84
Fleet Management,General,273,0,2014,Actual,YTD,2013-09-30,273,Office of Fleet Management,25,Fleet,1,2014,25
Free Library,General,606,0,2014,Actual,YTD,2013-09-30,606,The Free Library of Philadelphia,52,Free Library,1,2014,52
Historical Commission,General,4,0,2014,Actual,YTD,2013-09-30,4,Historical Commission,32,,1,2014,32
Human Relations Commission,General,30,0,2014,Actual,YTD,2013-09-30,30,Commission on Human Relations,54,Human Relations,1,2014,54
Human Services (1),General,348,0,2014,Actual,YTD,2013-09-30,348,Department of Human Services,22,DHS,1,2014,22
"Labor Relations, Mayor's Office of",General,7,0,2014,Actual,YTD,2013-09-30,7,Labor,03,,1,2014,03
Law,General,142,0,2014,Actual,YTD,2013-09-30,142,Law Department,44,Law,1,2014,44
Licenses & Inspections,General,298,0,2014,Actual,YTD,2013-09-30,298,Department of Licenses and Inspections,26,L&I,1,2014,26
L&I-Board of Building Standards,General,1,0,2014,Actual,YTD,2013-09-30,1,L&I: Board of Building and Standards,29,,1,2014,29
L&I-Board of L & I Review,General,2,0,2014,Actual,YTD,2013-09-30,2,L&I: Board of Review,27,,1,2014,27
L&I-Zoning Board of Adjustment,General,5,0,2014,Actual,YTD,2013-09-30,5,Zoning Board of Adjustments,30,ZBA,1,2014,30
Managing Director's Office,General,269,0,2014,Actual,YTD,2013-09-30,269,Managing Director's Office,10,MDO,1,2014,10
Mayor's Office,General,45,0,2014,Actual,YTD,2013-09-30,45,Mayor's Office,05,Mayor,1,2014,05
Mayor's Off. of Comm Empowerment/Oppor.,General,0,0,2014,Actual,YTD,2013-09-30,0,Mayor's Office of Community Empowerment and Opportunity,08,CEO,1,2014,08
Mayor's Office of Transportation & Utilities,General,13,0,2014,Actual,YTD,2013-09-30,13,Mayor's Office of Transportation and Utilities,46,,1,2014,46
Mural Arts Program,General,11,0,2014,Actual,YTD,2013-09-30,11,Mural Arts Program,50,Mural Arts,1,2014,50
Office of Arts and Culture,General,2,0,2014,Actual,YTD,2013-09-30,2,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,1,2014,58
Office of Behavioral Hith/Intel. disAbility,General,16,0,2014,Actual,YTD,2013-09-30,16,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,1,2014,15
Office of Housing & Comm. Development,General,0,0,2014,Actual,YTD,2013-09-30,0,Office of Housing and Community Development,06,,1,2014,06
Office of Human Resources,General,77,0,2014,Actual,YTD,2013-09-30,77,Office of Human Resources,56,OHR,1,2014,56
