category,fiscal_month,amount,fiscal_year,quarter,month
Other Funds,5,35.1,2015,3,11
Total Operating Funds,5,363.6,2015,3,11
Capital Improvement,5,113.2,2015,3,11
Industrial and Commercial Development,5,4.4,2015,3,11
Total Capital Funds,5,117.6,2015,3,11
Consolidated Cash,5,481.1,2015,3,11
General Fund,6,321.0,2015,3,12
Grants Fund,6,-161.0,2015,3,12
Community Development,6,-2.6,2015,3,12
Vehicle Rental Tax,6,3.7,2015,3,12
Hospital Assessment Fund,6,18.6,2015,3,12
Housing Trust Fund,6,24.0,2015,3,12
Other Funds,6,27.7,2015,3,12
Total Operating Funds,6,231.4,2015,3,12
Capital Improvement,6,103.2,2015,3,12
Industrial and Commercial Development,6,4.4,2015,3,12
Total Capital Funds,6,107.6,2015,3,12
Consolidated Cash,6,339.0,2015,3,12
General Fund,7,364.2,2015,3,1
Grants Fund,7,-183.6,2015,3,1
Community Development,7,-7.9,2015,3,1
Vehicle Rental Tax,7,4.0,2015,3,1
Hospital Assessment Fund,7,9.6,2015,3,1
Housing Trust Fund,7,18.2,2015,3,1
Other Funds,7,14.4,2015,3,1
Total Operating Funds,7,218.9,2015,3,1
Capital Improvement,7,92.6,2015,3,1
Industrial and Commercial Development,7,4.4,2015,3,1
Total Capital Funds,7,97.0,2015,3,1
Consolidated Cash,7,315.9,2015,3,1
General Fund,8,652.7,2015,3,2
Grants Fund,8,-223.6,2015,3,2
Community Development,8,-5.2,2015,3,2
Vehicle Rental Tax,8,4.3,2015,3,2
Hospital Assessment Fund,8,9.4,2015,3,2
Housing Trust Fund,8,17.8,2015,3,2
Other Funds,8,17.8,2015,3,2
Total Operating Funds,8,473.3,2015,3,2
Capital Improvement,8,84.6,2015,3,2
Industrial and Commercial Development,8,4.4,2015,3,2
Total Capital Funds,8,89.0,2015,3,2
Consolidated Cash,8,562.3,2015,3,2
General Fund,9,337.1,2015,3,3
Grants Fund,9,-272.7,2015,3,3
Community Development,9,-5.1,2015,3,3
Vehicle Rental Tax,9,4.7,2015,3,3
Hospital Assessment Fund,9,45.5,2015,3,3
Housing Trust Fund,9,18.1,2015,3,3
Other Funds,9,6.3,2015,3,3
Total Operating Funds,9,134.1,2015,3,3
Capital Improvement,9,76.4,2015,3,3
Industrial and Commercial Development,9,4.4,2015,3,3
Total Capital Funds,9,80.8,2015,3,3
Consolidated Cash,9,214.9,2015,3,3
General Fund,10,547.7,2015,3,4
Grants Fund,10,-270.3,2015,3,4
Community Development,10,-3.5,2015,3,4
Vehicle Rental Tax,10,5.2,2015,3,4
Hospital Assessment Fund,10,10.3,2015,3,4
Housing Trust Fund,10,18.1,2015,3,4
Other Funds,10,6.5,2015,3,4
Total Operating Funds,10,313.9,2015,3,4
Capital Improvement,10,69.4,2015,3,4
Industrial and Commercial Development,10,4.4,2015,3,4
Total Capital Funds,10,73.8,2015,3,4
Consolidated Cash,10,387.7,2015,3,4
General Fund,11,416.4,2015,3,5
Grants Fund,11,-136.1,2015,3,5
Community Development,11,-5.0,2015,3,5
Vehicle Rental Tax,11,5.4,2015,3,5
Hospital Assessment Fund,11,23.0,2015,3,5
Housing Trust Fund,11,14.3,2015,3,5
Other Funds,11,18.0,2015,3,5
Total Operating Funds,11,336.0,2015,3,5
Capital Improvement,11,61.9,2015,3,5
Industrial and Commercial Development,11,3.8,2015,3,5
Total Capital Funds,11,65.7,2015,3,5
Consolidated Cash,11,401.7,2015,3,5
General Fund,12,367.4,2015,3,6
Grants Fund,12,-109.8,2015,3,6
Community Development,12,-6.8,2015,3,6
Vehicle Rental Tax,12,5.9,2015,3,6
Hospital Assessment Fund,12,18.1,2015,3,6
Housing Trust Fund,12,14.2,2015,3,6
Other Funds,12,33.0,2015,3,6
Total Operating Funds,12,322.0,2015,3,6
Capital Improvement,12,54.4,2015,3,6
Industrial and Commercial Development,12,3.7,2015,3,6
Total Capital Funds,12,58.1,2015,3,6
Consolidated Cash,12,380.1,2015,3,6
General Fund,1,409.9,2015,2,7
Grants Fund,1,-117.0,2015,2,7
Community Development,1,-3.1,2015,2,7
Vehicle Rental Tax,1,7.3,2015,2,7
Hospital Assessment Fund,1,12.4,2015,2,7
Housing Trust Fund,1,18.6,2015,2,7
Other Funds,1,15.3,2015,2,7
Total Operating Funds,1,343.3,2015,2,7
Capital Improvement,1,146.2,2015,2,7
Industrial and Commercial Development,1,4.1,2015,2,7
Total Capital Funds,1,150.2,2015,2,7
Consolidated Cash,1,493.6,2015,2,7
General Fund,2,351.5,2015,2,8
Grants Fund,2,-14.1,2015,2,8
Community Development,2,-6.4,2015,2,8
Vehicle Rental Tax,2,7.8,2015,2,8
Hospital Assessment Fund,2,12.1,2015,2,8
Housing Trust Fund,2,18.5,2015,2,8
Other Funds,2,11.4,2015,2,8
Total Operating Funds,2,380.7,2015,2,8
Capital Improvement,2,137.7,2015,2,8
Industrial and Commercial Development,2,4.1,2015,2,8
Total Capital Funds,2,141.8,2015,2,8
Consolidated Cash,2,522.5,2015,2,8
General Fund,3,333.4,2015,2,9
Grants Fund,3,-64.8,2015,2,9
Community Development,3,-2.5,2015,2,9
Vehicle Rental Tax,3,2.4,2015,2,9
Hospital Assessment Fund,3,46.0,2015,2,9
Housing Trust Fund,3,18.8,2015,2,9
Other Funds,3,17.2,2015,2,9
Total Operating Funds,3,350.5,2015,2,9
Capital Improvement,3,124.6,2015,2,9
Industrial and Commercial Development,3,4.1,2015,2,9
Total Capital Funds,3,128.6,2015,2,9
Consolidated Cash,3,479.2,2015,2,9
General Fund,4,259.1,2015,2,10
Grants Fund,4,-71.1,2015,2,10
Community Development,4,-0.1,2015,2,10
Vehicle Rental Tax,4,2.8,2015,2,10
Hospital Assessment Fund,4,12.7,2015,2,10
Housing Trust Fund,4,19.4,2015,2,10
Other Funds,4,14.5,2015,2,10
Total Operating Funds,4,237.4,2015,2,10
Capital Improvement,4,119.6,2015,2,10
Industrial and Commercial Development,4,4.1,2015,2,10
Total Capital Funds,4,123.7,2015,2,10
Consolidated Cash,4,361.1,2015,2,10
General Fund,5,400.9,2015,2,11
Grants Fund,5,-105.7,2015,2,11
Community Development,5,-3.5,2015,2,11
Vehicle Rental Tax,5,3.4,2015,2,11
Hospital Assessment Fund,5,12.5,2015,2,11
Housing Trust Fund,5,19.8,2015,2,11
Other Funds,5,35.1,2015,2,11
Total Operating Funds,5,362.5,2015,2,11
Capital Improvement,5,113.2,2015,2,11
Industrial and Commercial Development,5,4.4,2015,2,11
Total Capital Funds,5,117.6,2015,2,11
Consolidated Cash,5,480.1,2015,2,11
General Fund,6,322.1,2015,2,12
Grants Fund,6,-161.0,2015,2,12
Community Development,6,-2.6,2015,2,12
Vehicle Rental Tax,6,3.7,2015,2,12
Hospital Assessment Fund,6,18.6,2015,2,12
Housing Trust Fund,6,24.0,2015,2,12
Other Funds,6,27.7,2015,2,12
Total Operating Funds,6,232.6,2015,2,12
Capital Improvement,6,103.2,2015,2,12
Industrial and Commercial Development,6,4.4,2015,2,12
Total Capital Funds,6,107.6,2015,2,12
Consolidated Cash,6,340.2,2015,2,12
General Fund,7,365.3,2015,2,1
Grants Fund,7,-183.6,2015,2,1
Community Development,7,-7.9,2015,2,1
Vehicle Rental Tax,7,4.0,2015,2,1
Hospital Assessment Fund,7,9.6,2015,2,1
Housing Trust Fund,7,18.2,2015,2,1
Other Funds,7,14.4,2015,2,1
Total Operating Funds,7,220.1,2015,2,1
Capital Improvement,7,92.6,2015,2,1
Industrial and Commercial Development,7,4.4,2015,2,1
Total Capital Funds,7,97.0,2015,2,1
Consolidated Cash,7,317.0,2015,2,1
General Fund,8,672.1,2015,2,2
Grants Fund,8,-177.9,2015,2,2
Community Development,8,-3.5,2015,2,2
Vehicle Rental Tax,8,6.7,2015,2,2
Hospital Assessment Fund,8,7.6,2015,2,2
Housing Trust Fund,8,15.3,2015,2,2
Other Funds,8,20.2,2015,2,2
Total Operating Funds,8,540.5,2015,2,2
Capital Improvement,8,85.1,2015,2,2
Industrial and Commercial Development,8,3.9,2015,2,2
Total Capital Funds,8,89.0,2015,2,2
Consolidated Cash,8,629.5,2015,2,2
General Fund,9,363.6,2015,2,3
Grants Fund,9,-114.1,2015,2,3
Community Development,9,-6.2,2015,2,3
Vehicle Rental Tax,9,5.6,2015,2,3
Hospital Assessment Fund,9,17.8,2015,2,3
Housing Trust Fund,9,15.0,2015,2,3
Other Funds,9,3.2,2015,2,3
Total Operating Funds,9,284.9,2015,2,3
Capital Improvement,9,77.6,2015,2,3
Industrial and Commercial Development,9,3.9,2015,2,3
Total Capital Funds,9,81.5,2015,2,3
Consolidated Cash,9,366.4,2015,2,3
General Fund,10,408.6,2015,2,4
Grants Fund,10,-103.1,2015,2,4
Community Development,10,-2.5,2015,2,4
Vehicle Rental Tax,10,6.0,2015,2,4
Hospital Assessment Fund,10,8.7,2015,2,4
Housing Trust Fund,10,14.5,2015,2,4
Other Funds,10,14.6,2015,2,4
Total Operating Funds,10,346.9,2015,2,4
Capital Improvement,10,70.1,2015,2,4
Industrial and Commercial Development,10,3.8,2015,2,4
Total Capital Funds,10,73.9,2015,2,4
Consolidated Cash,10,420.8,2015,2,4
General Fund,11,361.5,2015,2,5
Grants Fund,11,-136.1,2015,2,5
Community Development,11,-5.0,2015,2,5
Vehicle Rental Tax,11,5.4,2015,2,5
Hospital Assessment Fund,11,23.0,2015,2,5
Housing Trust Fund,11,14.3,2015,2,5
Other Funds,11,18.0,2015,2,5
Total Operating Funds,11,281.2,2015,2,5
Capital Improvement,11,62.6,2015,2,5
Industrial and Commercial Development,11,3.8,2015,2,5
Total Capital Funds,11,66.4,2015,2,5
Consolidated Cash,11,347.6,2015,2,5
General Fund,12,305.9,2015,2,6
Grants Fund,12,-109.8,2015,2,6
Community Development,12,-6.8,2015,2,6
Vehicle Rental Tax,12,5.9,2015,2,6
Hospital Assessment Fund,12,18.1,2015,2,6
Housing Trust Fund,12,14.2,2015,2,6
Other Funds,12,33.0,2015,2,6
Total Operating Funds,12,260.5,2015,2,6
Capital Improvement,12,55.1,2015,2,6
Industrial and Commercial Development,12,3.7,2015,2,6
Total Capital Funds,12,58.8,2015,2,6
Consolidated Cash,12,319.3,2015,2,6
General Fund,1,409.9,2015,1,7
Grants Fund,1,-117.0,2015,1,7
Community Development,1,-3.1,2015,1,7
Vehicle Rental Tax,1,7.3,2015,1,7
Hospital Assessment Fund,1,12.4,2015,1,7
Housing Trust Fund,1,18.6,2015,1,7
Other Funds,1,15.3,2015,1,7
Total Operating Funds,1,343.3,2015,1,7
Capital Improvement,1,146.2,2015,1,7
Industrial and Commercial Development,1,4.1,2015,1,7
Total Capital Funds,1,150.2,2015,1,7
Consolidated Cash,1,493.6,2015,1,7
General Fund,2,351.5,2015,1,8
Grants Fund,2,-14.1,2015,1,8
Community Development,2,-6.4,2015,1,8
Vehicle Rental Tax,2,7.8,2015,1,8
Hospital Assessment Fund,2,12.1,2015,1,8
Housing Trust Fund,2,18.5,2015,1,8
Other Funds,2,11.4,2015,1,8
Total Operating Funds,2,380.7,2015,1,8
Capital Improvement,2,137.7,2015,1,8
Industrial and Commercial Development,2,4.1,2015,1,8
Total Capital Funds,2,141.8,2015,1,8
Consolidated Cash,2,522.5,2015,1,8
General Fund,3,333.4,2015,1,9
Grants Fund,3,-64.8,2015,1,9
Community Development,3,-2.5,2015,1,9
Vehicle Rental Tax,3,2.4,2015,1,9
Hospital Assessment Fund,3,46.0,2015,1,9
Housing Trust Fund,3,18.8,2015,1,9
Other Funds,3,17.2,2015,1,9
Total Operating Funds,3,350.5,2015,1,9
Capital Improvement,3,124.6,2015,1,9
Industrial and Commercial Development,3,4.1,2015,1,9
Total Capital Funds,3,128.6,2015,1,9
Consolidated Cash,3,479.2,2015,1,9
General Fund,4,259.1,2015,1,10
Grants Fund,4,-71.1,2015,1,10
Community Development,4,-0.1,2015,1,10
Vehicle Rental Tax,4,2.8,2015,1,10
Hospital Assessment Fund,4,12.7,2015,1,10
Housing Trust Fund,4,19.4,2015,1,10
Other Funds,4,14.5,2015,1,10
Total Operating Funds,4,237.4,2015,1,10
Capital Improvement,4,119.6,2015,1,10
Industrial and Commercial Development,4,4.1,2015,1,10
Total Capital Funds,4,123.7,2015,1,10
Consolidated Cash,4,361.1,2015,1,10
General Fund,5,298.2,2015,1,11
Grants Fund,5,-74.0,2015,1,11
Community Development,5,-2.6,2015,1,11
Vehicle Rental Tax,5,5.6,2015,1,11
Hospital Assessment Fund,5,7.2,2015,1,11
Housing Trust Fund,5,15.9,2015,1,11
Other Funds,5,24.2,2015,1,11
Total Operating Funds,5,274.5,2015,1,11
Capital Improvement,5,112.1,2015,1,11
Industrial and Commercial Development,5,4.3,2015,1,11
Total Capital Funds,5,116.4,2015,1,11
Consolidated Cash,5,390.9,2015,1,11
General Fund,6,243.8,2015,1,12
Grants Fund,6,-115.3,2015,1,12
Community Development,6,-0.9,2015,1,12
Vehicle Rental Tax,6,5.9,2015,1,12
Hospital Assessment Fund,6,12.3,2015,1,12
Housing Trust Fund,6,15.3,2015,1,12
Other Funds,6,27.8,2015,1,12
Total Operating Funds,6,188.9,2015,1,12
Capital Improvement,6,104.6,2015,1,12
Industrial and Commercial Development,6,3.9,2015,1,12
Total Capital Funds,6,108.5,2015,1,12
Consolidated Cash,6,297.4,2015,1,12
General Fund,7,273.3,2015,1,1
Grants Fund,7,-106.1,2015,1,1
Community Development,7,-3.0,2015,1,1
Vehicle Rental Tax,7,6.3,2015,1,1
Hospital Assessment Fund,7,8.0,2015,1,1
Housing Trust Fund,7,15.1,2015,1,1
Other Funds,7,13.6,2015,1,1
Total Operating Funds,7,207.3,2015,1,1
Capital Improvement,7,97.1,2015,1,1
Industrial and Commercial Development,7,3.9,2015,1,1
Total Capital Funds,7,101.0,2015,1,1
Consolidated Cash,7,308.3,2015,1,1
General Fund,8,572.3,2015,1,2
Grants Fund,8,-137.9,2015,1,2
Community Development,8,-3.5,2015,1,2
Vehicle Rental Tax,8,6.7,2015,1,2
Hospital Assessment Fund,8,7.6,2015,1,2
Housing Trust Fund,8,15.3,2015,1,2
Other Funds,8,20.2,2015,1,2
Total Operating Funds,8,480.6,2015,1,2
Capital Improvement,8,89.6,2015,1,2
Industrial and Commercial Development,8,3.9,2015,1,2
Total Capital Funds,8,93.5,2015,1,2
Consolidated Cash,8,574.1,2015,1,2
General Fund,9,290.9,2015,1,3
Grants Fund,9,-74.1,2015,1,3
Community Development,9,-6.2,2015,1,3
Vehicle Rental Tax,9,5.6,2015,1,3
Hospital Assessment Fund,9,17.8,2015,1,3
Housing Trust Fund,9,15.0,2015,1,3
Other Funds,9,3.2,2015,1,3
Total Operating Funds,9,252.3,2015,1,3
Capital Improvement,9,82.1,2015,1,3
Industrial and Commercial Development,9,3.9,2015,1,3
Total Capital Funds,9,86.0,2015,1,3
Consolidated Cash,9,338.3,2015,1,3
General Fund,10,360.7,2015,1,4
Grants Fund,10,-63.1,2015,1,4
Community Development,10,-2.5,2015,1,4
Vehicle Rental Tax,10,6.0,2015,1,4
Hospital Assessment Fund,10,8.7,2015,1,4
Housing Trust Fund,10,14.5,2015,1,4
Other Funds,10,14.6,2015,1,4
Total Operating Funds,10,339.0,2015,1,4
Capital Improvement,10,74.6,2015,1,4
Industrial and Commercial Development,10,3.8,2015,1,4
Total Capital Funds,10,78.4,2015,1,4
Consolidated Cash,10,417.4,2015,1,4
General Fund,11,333.0,2015,1,5
Grants Fund,11,-96.1,2015,1,5
Community Development,11,-5.0,2015,1,5
Vehicle Rental Tax,11,5.4,2015,1,5
Hospital Assessment Fund,11,23.0,2015,1,5
Housing Trust Fund,11,14.3,2015,1,5
Other Funds,11,18.0,2015,1,5
Total Operating Funds,11,292.6,2015,1,5
Capital Improvement,11,67.1,2015,1,5
Industrial and Commercial Development,11,3.8,2015,1,5
Total Capital Funds,11,70.9,2015,1,5
Consolidated Cash,11,363.5,2015,1,5
General Fund,12,291.6,2015,1,6
Grants Fund,12,-69.8,2015,1,6
Community Development,12,-6.8,2015,1,6
Vehicle Rental Tax,12,5.9,2015,1,6
Hospital Assessment Fund,12,18.1,2015,1,6
Housing Trust Fund,12,14.2,2015,1,6
Other Funds,12,33.0,2015,1,6
Total Operating Funds,12,286.2,2015,1,6
Capital Improvement,12,59.6,2015,1,6
Industrial and Commercial Development,12,3.7,2015,1,6
Total Capital Funds,12,63.3,2015,1,6
Consolidated Cash,12,349.6,2015,1,6
General Fund,1,414.8,2014,4,7
Grants Fund,1,-67.5,2014,4,7
Community Development,1,-6.0,2014,4,7
Vehicle Rental Tax,1,6.8,2014,4,7
Hospital Assessment Fund,1,11.8,2014,4,7
Housing Trust Fund,1,16.5,2014,4,7
Other Funds,1,7.0,2014,4,7
Total Operating Funds,1,383.5,2014,4,7
Capital Improvement,1,230.0,2014,4,7
Industrial and Commercial Development,1,3.6,2014,4,7
Total Capital Funds,1,233.7,2014,4,7
Consolidated Cash,1,617.1,2014,4,7
General Fund,2,378.2,2014,4,8
Grants Fund,2,14.5,2014,4,8
Community Development,2,-4.4,2014,4,8
Vehicle Rental Tax,2,7.4,2014,4,8
Hospital Assessment Fund,2,10.3,2014,4,8
Housing Trust Fund,2,17.4,2014,4,8
Other Funds,2,11.9,2014,4,8
Total Operating Funds,2,435.3,2014,4,8
Capital Improvement,2,228.8,2014,4,8
Industrial and Commercial Development,2,3.6,2014,4,8
Total Capital Funds,2,232.5,2014,4,8
Consolidated Cash,2,667.8,2014,4,8
General Fund,3,433.3,2014,4,9
Grants Fund,3,23.5,2014,4,9
Community Development,3,-4.1,2014,4,9
Vehicle Rental Tax,3,2.9,2014,4,9
Hospital Assessment Fund,3,9.9,2014,4,9
Housing Trust Fund,3,18.0,2014,4,9
Other Funds,3,33.1,2014,4,9
Total Operating Funds,3,516.6,2014,4,9
Capital Improvement,3,228.0,2014,4,9
Industrial and Commercial Development,3,3.9,2014,4,9
Total Capital Funds,3,232.0,2014,4,9
Consolidated Cash,3,748.5,2014,4,9
General Fund,4,324.4,2014,4,10
Grants Fund,4,-17.9,2014,4,10
Community Development,4,-4.0,2014,4,10
Vehicle Rental Tax,4,3.3,2014,4,10
Hospital Assessment Fund,4,9.3,2014,4,10
Housing Trust Fund,4,18.0,2014,4,10
Other Funds,4,35.0,2014,4,10
Total Operating Funds,4,368.2,2014,4,10
Capital Improvement,4,212.7,2014,4,10
Industrial and Commercial Development,4,3.9,2014,4,10
Total Capital Funds,4,216.6,2014,4,10
Consolidated Cash,4,584.8,2014,4,10
General Fund,5,212.1,2014,4,11
Grants Fund,5,-78.3,2014,4,11
Community Development,5,-3.8,2014,4,11
Vehicle Rental Tax,5,3.8,2014,4,11
Hospital Assessment Fund,5,9.0,2014,4,11
Housing Trust Fund,5,17.8,2014,4,11
Other Funds,5,16.4,2014,4,11
Total Operating Funds,5,177.1,2014,4,11
Capital Improvement,5,203.1,2014,4,11
Industrial and Commercial Development,5,3.9,2014,4,11
Total Capital Funds,5,207.1,2014,4,11
Consolidated Cash,5,384.2,2014,4,11
General Fund,6,268.9,2014,4,12
Grants Fund,6,-116.1,2014,4,12
Community Development,6,-4.3,2014,4,12
Vehicle Rental Tax,6,4.2,2014,4,12
Hospital Assessment Fund,6,8.5,2014,4,12
Housing Trust Fund,6,18.1,2014,4,12
Other Funds,6,15.6,2014,4,12
Total Operating Funds,6,194.9,2014,4,12
Capital Improvement,6,196.7,2014,4,12
Industrial and Commercial Development,6,3.9,2014,4,12
Total Capital Funds,6,200.6,2014,4,12
Consolidated Cash,6,395.5,2014,4,12
General Fund,7,317.3,2014,4,1
Grants Fund,7,-125.2,2014,4,1
Community Development,7,-5.9,2014,4,1
Vehicle Rental Tax,7,4.6,2014,4,1
Hospital Assessment Fund,7,8.4,2014,4,1
Housing Trust Fund,7,18.3,2014,4,1
Other Funds,7,15.4,2014,4,1
Total Operating Funds,7,232.8,2014,4,1
Capital Improvement,7,187.0,2014,4,1
Industrial and Commercial Development,7,3.9,2014,4,1
Total Capital Funds,7,190.9,2014,4,1
Consolidated Cash,7,423.7,2014,4,1
General Fund,8,499.2,2014,4,2
Grants Fund,8,-120.5,2014,4,2
Community Development,8,-3.9,2014,4,2
Vehicle Rental Tax,8,5.0,2014,4,2
Hospital Assessment Fund,8,8.0,2014,4,2
Housing Trust Fund,8,18.3,2014,4,2
Other Funds,8,19.4,2014,4,2
Total Operating Funds,8,425.5,2014,4,2
Capital Improvement,8,178.9,2014,4,2
Industrial and Commercial Development,8,4.0,2014,4,2
Total Capital Funds,8,182.9,2014,4,2
Consolidated Cash,8,608.3,2014,4,2
General Fund,9,212.1,2014,4,3
Grants Fund,9,-86.4,2014,4,3
Community Development,9,-7.9,2014,4,3
Vehicle Rental Tax,9,5.3,2014,4,3
Hospital Assessment Fund,9,7.6,2014,4,3
Housing Trust Fund,9,18.4,2014,4,3
Other Funds,9,7.6,2014,4,3
Total Operating Funds,9,156.7,2014,4,3
Capital Improvement,9,174.5,2014,4,3
Industrial and Commercial Development,9,4.0,2014,4,3
Total Capital Funds,9,178.5,2014,4,3
Consolidated Cash,9,335.2,2014,4,3
General Fund,10,360.4,2014,4,4
Grants Fund,10,-91.4,2014,4,4
Community Development,10,-3.3,2014,4,4
Vehicle Rental Tax,10,5.7,2014,4,4
Hospital Assessment Fund,10,7.3,2014,4,4
Housing Trust Fund,10,17.0,2014,4,4
Other Funds,10,15.6,2014,4,4
Total Operating Funds,10,311.2,2014,4,4
Capital Improvement,10,168.0,2014,4,4
Industrial and Commercial Development,10,4.0,2014,4,4
Total Capital Funds,10,172.0,2014,4,4
Consolidated Cash,10,483.2,2014,4,4
General Fund,11,390.2,2014,4,5
Grants Fund,11,-156.3,2014,4,5
Community Development,11,-1.6,2014,4,5
Vehicle Rental Tax,11,6.2,2014,4,5
Hospital Assessment Fund,11,5.4,2014,4,5
Housing Trust Fund,11,16.5,2014,4,5
Other Funds,11,27.0,2014,4,5
Total Operating Funds,11,287.4,2014,4,5
Capital Improvement,11,164.0,2014,4,5
Industrial and Commercial Development,11,4.0,2014,4,5
Total Capital Funds,11,167.9,2014,4,5
Consolidated Cash,11,455.3,2014,4,5
General Fund,12,448.9,2014,4,6
Grants Fund,12,-94.3,2014,4,6
Community Development,12,-6.5,2014,4,6
Vehicle Rental Tax,12,6.7,2014,4,6
Hospital Assessment Fund,12,12.4,2014,4,6
Housing Trust Fund,12,17.7,2014,4,6
Other Funds,12,17.6,2014,4,6
Total Operating Funds,12,402.5,2014,4,6
Capital Improvement,12,157.3,2014,4,6
Industrial and Commercial Development,12,4.1,2014,4,6
Total Capital Funds,12,161.4,2014,4,6
Consolidated Cash,12,563.9,2014,4,6
General Fund,1,414.8,2014,3,7
Grants Fund,1,-67.5,2014,3,7
Community Development,1,-6.0,2014,3,7
Vehicle Rental Tax,1,6.8,2014,3,7
Hospital Assessment Fund,1,11.8,2014,3,7
Housing Trust Fund,1,16.5,2014,3,7
Other Funds,1,7.0,2014,3,7
Total Operating Funds,1,383.5,2014,3,7
Capital Improvement,1,230.0,2014,3,7
Industrial and Commercial Development,1,3.6,2014,3,7
Total Capital Funds,1,233.7,2014,3,7
Consolidated Cash,1,617.1,2014,3,7
General Fund,2,378.2,2014,3,8
Grants Fund,2,14.5,2014,3,8
Community Development,2,-4.4,2014,3,8
Vehicle Rental Tax,2,7.4,2014,3,8
Hospital Assessment Fund,2,10.3,2014,3,8
Housing Trust Fund,2,17.4,2014,3,8
Other Funds,2,11.9,2014,3,8
Total Operating Funds,2,435.3,2014,3,8
Capital Improvement,2,228.8,2014,3,8
Industrial and Commercial Development,2,3.6,2014,3,8
Total Capital Funds,2,232.5,2014,3,8
Consolidated Cash,2,667.8,2014,3,8
General Fund,3,433.3,2014,3,9
Grants Fund,3,23.5,2014,3,9
Community Development,3,-4.1,2014,3,9
Vehicle Rental Tax,3,2.9,2014,3,9
Hospital Assessment Fund,3,9.9,2014,3,9
Housing Trust Fund,3,18.0,2014,3,9
Other Funds,3,33.1,2014,3,9
Total Operating Funds,3,516.6,2014,3,9
Capital Improvement,3,228.0,2014,3,9
Industrial and Commercial Development,3,3.9,2014,3,9
Total Capital Funds,3,232.0,2014,3,9
Consolidated Cash,3,748.5,2014,3,9
General Fund,4,324.4,2014,3,10
Grants Fund,4,-17.9,2014,3,10
Community Development,4,-4.0,2014,3,10
Vehicle Rental Tax,4,3.3,2014,3,10
Hospital Assessment Fund,4,9.3,2014,3,10
Housing Trust Fund,4,18.0,2014,3,10
Other Funds,4,35.0,2014,3,10
Total Operating Funds,4,368.2,2014,3,10
Capital Improvement,4,212.7,2014,3,10
Industrial and Commercial Development,4,3.9,2014,3,10
Total Capital Funds,4,216.6,2014,3,10
Consolidated Cash,4,584.8,2014,3,10
General Fund,5,212.1,2014,3,11
Grants Fund,5,-78.3,2014,3,11
Community Development,5,-3.8,2014,3,11
Vehicle Rental Tax,5,3.8,2014,3,11
Hospital Assessment Fund,5,9.0,2014,3,11
Housing Trust Fund,5,17.8,2014,3,11
Other Funds,5,16.4,2014,3,11
Total Operating Funds,5,177.1,2014,3,11
Capital Improvement,5,203.1,2014,3,11
Industrial and Commercial Development,5,3.9,2014,3,11
Total Capital Funds,5,207.1,2014,3,11
Consolidated Cash,5,384.2,2014,3,11
General Fund,6,268.9,2014,3,12
Grants Fund,6,-116.1,2014,3,12
Community Development,6,-4.3,2014,3,12
Vehicle Rental Tax,6,4.2,2014,3,12
Hospital Assessment Fund,6,8.5,2014,3,12
Housing Trust Fund,6,18.1,2014,3,12
Other Funds,6,15.6,2014,3,12
Total Operating Funds,6,194.9,2014,3,12
Capital Improvement,6,196.7,2014,3,12
Industrial and Commercial Development,6,3.9,2014,3,12
Total Capital Funds,6,200.6,2014,3,12
Consolidated Cash,6,395.5,2014,3,12
General Fund,7,317.3,2014,3,1
Grants Fund,7,-125.2,2014,3,1
Community Development,7,-5.9,2014,3,1
Vehicle Rental Tax,7,4.6,2014,3,1
Hospital Assessment Fund,7,8.4,2014,3,1
Housing Trust Fund,7,18.3,2014,3,1
Other Funds,7,15.4,2014,3,1
Total Operating Funds,7,232.8,2014,3,1
Capital Improvement,7,187.0,2014,3,1
Industrial and Commercial Development,7,3.9,2014,3,1
Total Capital Funds,7,190.9,2014,3,1
Consolidated Cash,7,423.7,2014,3,1
General Fund,8,499.2,2014,3,2
Grants Fund,8,-120.5,2014,3,2
Community Development,8,-3.9,2014,3,2
Vehicle Rental Tax,8,5.0,2014,3,2
Hospital Assessment Fund,8,8.0,2014,3,2
Housing Trust Fund,8,18.3,2014,3,2
Other Funds,8,19.4,2014,3,2
Total Operating Funds,8,425.5,2014,3,2
Capital Improvement,8,178.9,2014,3,2
Industrial and Commercial Development,8,4.0,2014,3,2
Total Capital Funds,8,182.9,2014,3,2
Consolidated Cash,8,608.3,2014,3,2
General Fund,9,212.1,2014,3,3
Grants Fund,9,-86.4,2014,3,3
Community Development,9,-7.9,2014,3,3
Vehicle Rental Tax,9,5.3,2014,3,3
Hospital Assessment Fund,9,7.6,2014,3,3
Housing Trust Fund,9,18.4,2014,3,3
Other Funds,9,7.6,2014,3,3
Total Operating Funds,9,156.7,2014,3,3
Capital Improvement,9,174.5,2014,3,3
Industrial and Commercial Development,9,4.0,2014,3,3
Total Capital Funds,9,178.5,2014,3,3
Consolidated Cash,9,335.2,2014,3,3
General Fund,10,353.8,2014,3,4
Grants Fund,10,-91.4,2014,3,4
Community Development,10,-3.3,2014,3,4
Vehicle Rental Tax,10,5.7,2014,3,4
Hospital Assessment Fund,10,7.3,2014,3,4
Housing Trust Fund,10,17.0,2014,3,4
Other Funds,10,15.6,2014,3,4
Total Operating Funds,10,304.6,2014,3,4
Capital Improvement,10,168.0,2014,3,4
Industrial and Commercial Development,10,4.0,2014,3,4
